,predicted_rsrp,predicted_rsrq,predicted_sinr,true_rsrp,true_rsrq,true_sinr
0,-99.45234,-14.833268,-5.104424,-97.0,-14.0,-3.0
1,-90.142,-10.143306,-2.3607903,-89.0,-10.0,-3.0
2,-102.52414,-18.998598,-11.951978,-101.0,-19.0,-12.0
3,-91.13396,-11.736619,-10.548214,-91.0,-13.0,-11.0
4,-89.528725,-6.6341443,-2.2351792,-88.0,-7.0,-3.0
5,-99.31956,-11.813895,-6.2105374,-98.0,-12.0,-6.0
6,-93.830894,-8.606552,-0.7567717,-92.0,-9.0,-1.0
7,-98.14883,-14.949415,-13.852581,-96.0,-15.0,-12.0
8,-98.66211,-16.83833,-17.815401,-98.0,-17.0,-20.0
9,-95.24984,-8.145811,-2.3859262,-94.0,-8.0,-3.0
10,-105.99483,-18.431091,-10.796212,-105.0,-19.5,-11.0
11,-93.95269,-11.581341,-6.785397,-92.0,-12.0,-7.0
12,-101.7427,-16.551468,-10.389571,-101.0,-17.0,-10.0
13,-97.33405,-12.58813,-3.9777737,-97.0,-12.0,-2.0
14,-92.95231,-9.088209,-3.9013495,-92.0,-9.0,-4.0
15,-99.52993,-17.256832,-13.525027,-98.0,-17.0,-11.0
16,-90.632,-7.386191,-4.784374,-90.0,-8.0,-6.0
17,-96.20239,-10.240544,-3.1320024,-95.0,-9.0,-4.0
18,-98.90787,-16.743692,-11.771565,-98.0,-17.0,-12.0
19,-91.08316,-11.418018,-5.0619125,-89.0,-12.0,-5.0
20,-91.42108,-11.173144,-8.586503,-89.0,-11.0,-10.0
21,-82.965965,-11.013718,7.7365794,-82.0,-11.0,7.0
22,-95.429985,-8.699459,-4.6658883,-95.0,-9.0,-4.0
23,-96.9998,-10.846427,-8.868745,-95.0,-11.0,-9.0
24,-101.37983,-13.927177,-9.093906,-100.0,-14.0,-8.0
25,-96.81762,-13.137604,-6.8057528,-96.0,-14.0,-8.0
26,-89.06478,-11.09247,2.3686512,-88.0,-11.0,2.0
27,-98.323204,-14.264277,0.72086143,-97.0,-14.0,1.0
28,-90.43859,-10.759227,-6.828955,-88.0,-9.0,-7.0
29,-93.44945,-11.726777,-20.357527,-90.0,-11.0,-20.0
30,-92.82433,-12.651336,-6.501735,-89.0,-13.0,-7.0
31,-99.32297,-11.946527,-6.378325,-98.0,-12.0,-6.0
32,-96.731674,-8.815927,0.37183315,-95.0,-9.0,0.0
33,-98.21885,-8.88749,0.5353811,-98.0,-8.0,0.0
34,-92.1925,-10.5947695,-7.144081,-90.0,-10.0,-6.0
