,predicted_rsrp,predicted_rsrq,predicted_sinr,true_rsrp,true_rsrq,true_sinr
0,-104.637886,-12.572322,-3.3736193,-103.0,-12.0,-4.0
1,-103.87909,-13.807849,-7.4575257,-109.0,-19.0,-20.0
2,-102.47598,-12.435551,-1.8454075,-100.0,-14.0,-3.0
3,-103.33944,-8.851355,-0.085439526,-101.0,-8.0,1.0
4,-105.46553,-9.02853,-1.4949028,-104.0,-9.0,-2.0
5,-110.35394,-17.032532,-12.575543,-110.0,-14.0,-8.0
6,-108.03789,-15.80579,-9.089346,-108.0,-16.0,-10.0
7,-110.88269,-13.338661,-6.5395055,-115.0,-17.0,-11.0
8,-103.57153,-12.3104925,-1.9701369,-102.0,-12.0,-3.0
9,-108.86038,-15.644072,-8.375368,-108.0,-16.0,-10.0
10,-110.93375,-15.161692,-5.562784,-111.0,-15.0,-6.0
11,-114.135025,-15.730638,-9.10033,-112.0,-16.0,-9.0
12,-105.249214,-14.159328,-7.985902,-100.0,-10.0,-1.0
13,-118.53813,-18.779617,-16.222485,-114.0,-19.5,-16.0
14,-107.3701,-12.37041,-3.2837186,-107.0,-12.0,-4.0
15,-117.23689,-19.977966,-19.484468,-118.0,-19.0,-20.0
16,-108.56214,-7.94365,-0.9600372,-104.0,-9.0,-2.0
17,-109.588745,-12.587123,-5.1518598,-101.0,-10.0,1.0
18,-111.61156,-18.363283,-12.550995,-111.0,-18.0,-12.0
19,-102.33473,-10.40372,0.34448877,-100.0,-11.0,-1.0
20,-102.090576,-10.133483,0.40780964,-100.0,-11.0,-1.0
21,-102.55834,-7.5494475,0.32837537,-100.0,-7.0,0.0
22,-111.04207,-16.648289,-10.161867,-108.0,-16.0,-10.0
23,-114.27708,-18.671757,-13.702204,-115.0,-19.5,-15.0
24,-105.8561,-11.110905,-2.3544133,-104.0,-13.0,-4.0
25,-99.14827,-9.98512,0.33440712,-99.0,-11.0,-2.0
26,-111.23073,-17.488564,-9.881346,-111.0,-18.0,-12.0
27,-106.189575,-13.103118,-5.372063,-105.0,-13.0,-6.0
28,-104.70683,-12.110821,-3.113643,-103.0,-12.0,-4.0
29,-100.893845,-12.02245,-1.3098114,-99.0,-11.0,-2.0
30,-103.02241,-8.793984,0.7487181,-101.0,-8.0,1.0
31,-103.02975,-8.974334,0.51828927,-101.0,-10.0,1.0
32,-109.62311,-16.075691,-9.999395,-108.0,-16.0,-11.0
33,-108.99472,-15.854373,-9.935972,-108.0,-16.0,-11.0
34,-110.06088,-13.771678,-3.1760235,-110.0,-14.0,-8.0
35,-104.00489,-11.147262,-3.2467992,-101.0,-11.0,-4.0
36,-111.09656,-11.207078,-6.793939,-110.0,-11.0,-7.0
37,-102.002335,-7.781279,1.5138425,-101.0,-8.0,2.0
38,-106.493195,-10.688866,-1.9548569,-106.0,-10.0,-2.0
39,-97.97015,-9.801144,1.8636755,-95.0,-10.0,1.0
40,-112.390015,-14.838278,-11.004734,-110.0,-11.0,-7.0
41,-103.00644,-9.202362,0.2805883,-103.0,-9.0,-1.0
42,-115.77415,-16.859741,-11.599246,-112.0,-16.0,-9.0
43,-105.1323,-7.387402,4.104933,-105.0,-7.0,4.0
44,-102.366875,-13.328411,-2.5132365,-100.0,-14.0,-3.0
45,-112.47075,-17.846916,-15.151292,-111.0,-18.0,-15.0
46,-115.95169,-17.470114,-10.849574,-114.0,-17.0,-10.0
47,-117.64412,-19.181086,-17.800974,-110.0,-16.0,-8.0
48,-115.489136,-17.67195,-10.281441,-114.0,-17.0,-10.0
49,-104.68114,-9.814983,0.6166876,-104.0,-10.0,0.0
50,-105.43203,-10.776783,-1.3089898,-104.0,-11.0,-1.0
51,-103.397995,-9.7794695,1.6365273,-104.0,-10.0,0.0
52,-107.3925,-19.031883,-12.370092,-108.0,-19.5,-13.0
53,-101.73784,-10.87006,-0.5660344,-99.0,-11.0,-2.0
54,-114.77345,-11.46894,-4.976299,-115.0,-10.0,-4.0
55,-107.95143,-9.539046,-1.7566183,-106.0,-9.0,-1.0
56,-95.19733,-7.931618,4.2138867,-94.0,-9.0,3.0
57,-107.17203,-11.832406,-3.1373637,-103.0,-12.0,-4.0
58,-114.62511,-16.592663,-10.649805,-112.0,-16.0,-9.0
59,-103.40902,-7.7776294,0.3362569,-103.0,-8.0,-1.0
60,-102.429184,-8.610115,0.89940923,-101.0,-10.0,1.0
61,-114.75913,-11.489413,-4.822488,-115.0,-10.0,-4.0
62,-108.40393,-11.95234,-1.3585181,-105.0,-8.0,5.0
63,-114.21968,-11.075229,-4.127994,-115.0,-10.0,-4.0
64,-104.46118,-13.564052,-5.4850435,-117.0,-19.5,-15.0
65,-114.243225,-18.508963,-15.823115,-114.0,-18.0,-14.0
66,-102.36479,-7.9361725,1.6712697,-101.0,-8.0,1.0
67,-106.61445,-9.967702,-1.3088031,-106.0,-10.0,-2.0
68,-113.83806,-14.610179,-7.2974086,-113.0,-15.0,-7.0
69,-112.106705,-18.199732,-12.575708,-111.0,-19.0,-14.0
70,-105.237755,-12.8219385,-3.1112626,-104.0,-13.0,-4.0
71,-97.98098,-10.55082,1.5081995,-95.0,-10.0,1.0
72,-105.573296,-12.213641,-3.3599353,-103.0,-12.0,-4.0
73,-118.86139,-18.48892,-15.439102,-140.0,-19.5,-16.0
74,-112.04653,-14.956048,-6.1060405,-111.0,-15.0,-6.0
75,-118.8699,-17.90888,-14.023836,-140.0,-19.5,-16.0
76,-101.92047,-13.461394,-2.6919656,-100.0,-14.0,-3.0
77,-114.22238,-17.360538,-9.648547,-114.0,-17.0,-10.0
78,-111.73085,-12.942667,-5.3714547,-109.0,-11.0,-4.0
79,-106.45084,-9.904628,-1.1601508,-106.0,-10.0,-2.0
80,-106.14797,-8.852046,-0.71864086,-106.0,-9.0,-1.0
81,-115.1759,-19.944696,-16.296997,-112.0,-19.5,-15.0
82,-109.419044,-13.333467,-6.7059307,-109.0,-13.0,-8.0
83,-105.13042,-8.759194,-0.16643389,-106.0,-9.0,-1.0
84,-115.48955,-20.203827,-19.843485,-115.0,-19.0,-20.0
85,-100.16582,-10.563856,0.026724735,-99.0,-11.0,-2.0
86,-106.75162,-12.6759615,-4.453652,-104.0,-11.0,-1.0
87,-102.375465,-12.601131,-2.057139,-100.0,-14.0,-3.0
88,-107.611984,-8.930839,-0.65590435,-106.0,-9.0,-1.0
89,-106.03533,-13.365743,-5.388413,-104.0,-13.0,-4.0
90,-105.52752,-12.203405,-3.5446026,-103.0,-12.0,-4.0
91,-116.12189,-19.776777,-15.555312,-113.0,-19.0,-14.0
92,-98.228004,-10.067653,1.6483264,-95.0,-10.0,1.0
93,-102.08769,-9.696292,0.55067927,-100.0,-11.0,-1.0
94,-90.01117,-13.129285,0.7049869,-89.0,-13.0,0.0
95,-112.8018,-17.807259,-12.01696,-111.0,-18.0,-12.0
96,-114.865685,-11.79753,-4.480526,-115.0,-10.0,-4.0
97,-111.195274,-11.369266,-6.4541926,-110.0,-11.0,-7.0
98,-104.93608,-12.602227,-2.9340432,-104.0,-13.0,-4.0
99,-118.80658,-18.30781,-14.440725,-140.0,-19.5,-16.0
100,-114.85057,-11.561803,-4.8968215,-115.0,-10.0,-4.0
101,-103.909904,-9.1992655,-0.24077065,-104.0,-11.0,-1.0
102,-110.66885,-11.912758,-4.626461,-109.0,-11.0,-4.0
103,-102.41684,-8.712914,1.6637847,-101.0,-8.0,1.0
104,-117.16184,-17.463577,-12.665258,-114.0,-16.0,-10.0
105,-110.90553,-14.353316,-5.4412923,-111.0,-15.0,-6.0
106,-104.589226,-19.294655,-14.609462,-103.0,-19.0,-15.0
107,-101.16687,-7.248876,0.875189,-100.0,-7.0,0.0
108,-105.753624,-19.098888,-14.6430855,-103.0,-19.0,-15.0
109,-113.958405,-17.665068,-14.569505,-114.0,-18.0,-14.0
110,-105.37369,-9.318747,-1.5642753,-104.0,-9.0,-2.0
111,-111.337654,-14.490565,-7.222528,-113.0,-15.0,-7.0
112,-101.54617,-12.584295,-5.2587132,-99.0,-11.0,-2.0
113,-100.81372,-6.8949347,1.0984792,-100.0,-7.0,0.0
114,-109.72109,-15.537741,-8.604429,-110.0,-14.0,-8.0
115,-104.90162,-11.852866,1.5970697,-104.0,-12.0,2.0
116,-102.476906,-10.81559,-0.27032885,-100.0,-11.0,-1.0
117,-110.18066,-15.291984,-8.043202,-108.0,-15.0,-9.0
118,-107.18992,-10.198869,-1.7253715,-106.0,-10.0,-2.0
119,-112.45831,-18.225113,-12.850923,-115.0,-19.0,-13.0
120,-114.51408,-18.920856,-14.440142,-114.0,-19.5,-16.0
121,-117.94466,-18.289392,-14.4864855,-112.0,-19.5,-19.0
122,-116.22092,-17.187126,-12.694111,-115.0,-18.0,-12.0
123,-109.82648,-15.406911,-6.2642,-109.0,-14.0,-5.0
124,-105.597694,-12.885512,-3.4596112,-104.0,-13.0,-4.0
125,-105.74774,-12.266566,-3.3758318,-103.0,-12.0,-4.0
126,-104.6983,-12.394425,-3.037584,-103.0,-12.0,-4.0
127,-115.48989,-19.461525,-16.106556,-114.0,-19.5,-16.0
128,-98.361984,-10.003895,1.5424335,-95.0,-10.0,1.0
129,-116.60521,-17.69697,-13.001339,-111.0,-14.0,-8.0
130,-111.74414,-12.566512,-8.36286,-110.0,-11.0,-7.0
131,-110.00375,-17.876741,-15.264809,-112.0,-17.0,-12.0
132,-104.46933,-8.704612,0.6525193,-103.0,-9.0,1.0
133,-116.77375,-18.956835,-13.934173,-117.0,-19.5,-13.0
134,-111.63565,-15.835822,-9.007392,-110.0,-14.0,-8.0
135,-113.76698,-17.426102,-9.779084,-114.0,-17.0,-10.0
