,predicted_rsrp,predicted_rsrq,predicted_sinr,true_rsrp,true_rsrq,true_sinr
0,-99.07983,-16.74391,-13.299454,-98.0,-17.0,-11.0
1,-104.47367,-13.453822,-3.0175555,-103.0,-13.0,-3.0
2,-97.33568,-14.502707,-15.59459,-96.0,-15.0,-12.0
3,-99.3808,-12.089303,-6.304927,-98.0,-12.0,-6.0
4,-99.49335,-8.145339,0.26298028,-98.0,-8.0,0.0
5,-88.06772,-8.137036,-2.1685443,-87.0,-8.0,-2.0
6,-95.8065,-9.252009,-4.5152664,-95.0,-9.0,-4.0
7,-96.380745,-11.170305,-9.03836,-95.0,-11.0,-9.0
8,-91.679726,-12.97883,-7.022555,-91.0,-12.0,-6.0
9,-105.496704,-20.110968,-15.118636,-102.0,-19.5,-12.0
10,-103.19824,-18.928537,-15.569104,-100.0,-19.0,-13.0
11,-91.369644,-11.124645,-11.122821,-90.0,-12.0,-13.0
12,-94.82575,-16.162647,-13.474329,-94.0,-17.0,-13.0
13,-95.482025,-9.06716,-0.37828493,-95.0,-9.0,0.0
14,-111.363,-15.899346,-11.432853,-117.0,-16.0,-9.0
15,-93.232285,-10.421388,-3.8127844,-92.0,-11.0,-4.0
16,-103.51,-17.705233,-13.851779,-99.0,-14.0,-14.0
17,-95.13344,-15.52329,-9.0847845,-95.0,-16.0,-8.0
18,-88.952545,-10.932069,-12.13116,-88.0,-11.0,-13.0
19,-94.55872,-13.422587,-7.7581706,-94.0,-14.0,-8.0
20,-95.851135,-15.967843,-8.42813,-95.0,-16.0,-8.0
21,-95.64798,-9.246021,-0.59816533,-95.0,-9.0,0.0
22,-94.88398,-8.455033,-2.6769402,-94.0,-8.0,-3.0
23,-105.76351,-16.27992,-8.724444,-104.0,-17.0,-9.0
24,-105.241684,-17.951597,-15.5951605,-103.0,-17.0,-11.0
25,-97.41803,-11.294703,-3.1343336,-96.0,-11.0,-4.0
26,-91.59354,-9.742755,-5.4406986,-90.0,-10.0,-6.0
27,-97.48573,-14.737418,-11.849911,-98.0,-12.0,-8.0
