,Method,Test_Size,MAE
0,IDW,0.4,12.874890263671581
1,Krig,0.4,12.052251272040179
2,Ensemble,0.4,10.959979222077715
3,Transformer,0.4,106.70723684210526
4,IDW,0.4,3.821800702187693
5,Krig,0.4,3.316154541417801
6,Ensemble,0.4,3.7784020570888086
7,Transformer,0.4,13.205592105263158
8,IDW,0.4,6.628957772488426
9,Krig,0.4,6.193414565351866
10,Ensemble,0.4,6.428969129650471
11,Transformer,0.4,6.220394736842105
12,IDW,0.6,17.66270365294424
13,Krig,0.6,16.840064661312837
14,Ensemble,0.6,15.747792611350377
15,Transformer,0.4,17.993405494535818
