,Method,Test_Size,MAE
0,IDW,0.1,12.791995523411597
1,Krig,0.1,12.140401105329438
2,Ensemble,0.1,10.819093304107188
3,Transformer,0.1,106.7609649122807
4,IDW,0.1,3.8184616572417385
5,Krig,0.1,3.364929833400025
6,Ensemble,0.1,3.7808652737108415
7,Transformer,0.1,13.323464912280702
8,IDW,0.1,6.665417844685478
9,Krig,0.1,6.238472047379024
10,Ensemble,0.1,6.485712041004962
11,Transformer,0.1,6.510964912280702
12,IDW,0.9,17.461936105666712
13,Krig,0.9,16.810341687584554
14,Ensemble,0.9,15.489033886362304
15,Transformer,0.1,17.99340549453581
