Method,Test_Size,MAE
IDW,0.5,12.87484045
Krig,0.5,12.34029816
Ensemble,0.5,10.61286805
Transformer,0.5,4.305032854
IDW,0.5,3.642863757
Krig,0.5,3.342036727
Ensemble,0.5,3.747951488
Transformer,0.5,2.621278797
IDW,0.5,6.824680789
Krig,0.5,6.371911225
Ensemble,0.5,6.336564557
Transformer,0.5,4.102295992
IDW,0.5,28.24696715
Krig,0.5,27.71242486
Ensemble,0.5,25.98499474
Transformer,0.5,-75.21028063
