Timestamp,lat,lon,alt,True,Predicted,MAE,RMSE
2024-11-26 16:15:02,52.6084665,1.5419582,3800.0,-79.0,[-74.57195],4.428047180175781,4.428047180175781
2024-11-26 16:15:03,52.6085001,1.5419812,3800.0,-79.0,[-74.40003],4.599967956542969,4.599967956542969
2024-11-26 16:15:04,52.6085329,1.5420041,3800.0,-79.0,[-74.22581],4.774192810058594,4.774192810058594
2024-11-26 16:15:05,52.6085661,1.5420264,3800.0,-79.0,[-74.066055],4.9339447021484375,4.9339447021484375
2024-11-26 16:15:06,52.6085994,1.5420485,3700.0,-79.0,[-73.91365],5.0863494873046875,5.0863494873046875
2024-11-26 16:15:06,52.6085994,1.5420485,3700.0,-79.0,[-73.91365],5.0863494873046875,5.0863494873046875
2024-11-26 16:15:07,52.6086325,1.5420701,3700.0,-111.0,[-73.729195],37.27080535888672,37.27080535888672
2024-11-26 16:15:08,52.6086656,1.5420916,3700.0,-111.0,[-73.52981],37.470191955566406,37.470191955566406
2024-11-26 16:15:09,52.6086972,1.5421212,3700.0,-111.0,[-73.35741],37.64259338378906,37.64259338378906
2024-11-26 16:15:10,52.6087286,1.5421528,3700.0,-111.0,[-73.23706],37.762939453125,37.762939453125
2024-11-26 16:15:11,52.6087586,1.5421831,3700.0,-81.0,[-73.14847],7.851531982421875,7.851531982421875
2024-11-26 16:15:12,52.6087842,1.5422112,3700.0,-81.0,[-73.06589],7.934112548828125,7.934112548828125
2024-11-26 16:15:12,52.6087842,1.5422112,3700.0,-81.0,[-73.06589],7.934112548828125,7.934112548828125
2024-11-26 16:15:13,52.6088064,1.5422634,3700.0,-81.0,[-72.990265],8.009735107421875,8.009735107421875
2024-11-26 16:15:14,52.6088241,1.5423166,3900.0,-81.0,[-72.83799],8.162010192871094,8.162010192871094
2024-11-26 16:15:15,52.6088312,1.5423377,3900.0,-81.0,[-72.807175],8.192825317382812,8.192825317382812
2024-11-26 16:15:16,52.6088581,1.5424207,4000.0,-81.0,[-72.68773],8.312271118164062,8.312271118164062
2024-11-26 16:15:17,52.6088751,1.5424714,4000.0,-81.0,[-72.6222],8.377799987792969,8.377799987792969
2024-11-26 16:15:17,52.6088751,1.5424714,4000.0,-81.0,[-72.6222],8.377799987792969,8.377799987792969
2024-11-26 16:15:18,52.6088922,1.5425202,4000.0,-81.0,[-72.5468],8.453201293945312,8.453201293945312
2024-11-26 16:15:19,52.6089042,1.5425962,4000.0,-81.0,[-72.470764],8.52923583984375,8.52923583984375
2024-11-26 16:15:20,52.6089067,1.5426313,4000.0,-75.0,[-72.43051],2.569488525390625,2.569488525390625
2024-11-26 16:15:21,52.6089115,1.5426901,3900.0,-75.0,[-72.4311],2.5689010620117188,2.5689010620117188
2024-11-26 16:15:22,52.608916,1.5427496,3900.0,-75.0,[-72.39797],2.6020278930664062,2.6020278930664062
2024-11-26 16:15:23,52.6089207,1.5428092,3900.0,-79.0,[-72.38533],6.6146697998046875,6.6146697998046875
2024-11-26 16:15:23,52.6089207,1.5428092,3900.0,-79.0,[-72.38533],6.6146697998046875,6.6146697998046875
2024-11-26 16:15:24,52.6089246,1.5428684,3800.0,-79.0,[-72.42688],6.5731201171875,6.5731201171875
2024-11-26 16:15:25,52.6089279,1.5429281,3800.0,-79.0,[-72.41733],6.582672119140625,6.582672119140625
2024-11-26 16:15:26,52.6089268,1.5429878,3700.0,-79.0,[-72.46528],6.534721374511719,6.534721374511719
2024-11-26 16:15:27,52.6089218,1.5430458,3700.0,-79.0,[-72.507095],6.4929046630859375,6.4929046630859375
2024-11-26 16:15:28,52.6089163,1.5431023,3700.0,-79.0,[-72.55903],6.440971374511719,6.440971374511719
2024-11-26 16:15:28,52.6089163,1.5431023,3700.0,-79.0,[-72.55903],6.440971374511719,6.440971374511719
2024-11-26 16:15:29,52.6089102,1.5431591,3700.0,-65.0,[-72.62788],7.627876281738281,7.627876281738281
2024-11-26 16:15:30,52.608905,1.5432172,3700.0,-77.0,[-72.718],4.2819976806640625,4.2819976806640625
2024-11-26 16:15:31,52.6089014,1.5432768,3700.0,-77.0,[-72.85152],4.1484832763671875,4.1484832763671875
2024-11-26 16:15:32,52.6088969,1.543337,3700.0,-79.0,[-73.00396],5.996040344238281,5.996040344238281
2024-11-26 16:15:33,52.6088916,1.5433965,3700.0,-79.0,[-73.15222],5.8477783203125,5.8477783203125
2024-11-26 16:15:34,52.6088796,1.5434524,3600.0,-79.0,[-73.36452],5.6354827880859375,5.6354827880859375
2024-11-26 16:15:34,52.6088796,1.5434524,3600.0,-79.0,[-73.36452],5.6354827880859375,5.6354827880859375
2024-11-26 16:15:35,52.6088637,1.5435046,3600.0,-79.0,[-73.53619],5.463813781738281,5.463813781738281
2024-11-26 16:15:36,52.6088473,1.5435561,3600.0,-79.0,[-73.69021],5.309791564941406,5.309791564941406
2024-11-26 16:15:37,52.6088306,1.5436082,3600.0,-71.0,[-73.83679],2.8367919921875,2.8367919921875
2024-11-26 16:15:38,52.6088139,1.5436605,3600.0,-77.0,[-73.97498],3.0250167846679688,3.0250167846679688
2024-11-26 16:15:39,52.6087973,1.5437126,3700.0,-111.0,[-74.06704],36.932960510253906,36.932960510253906
2024-11-26 16:15:39,52.6087973,1.5437126,3700.0,-79.0,[-74.06704],4.932960510253906,4.932960510253906
