Method,Test Size,MAE
Kriging,0.2,3.6939499966751947
Ensemble,0.2,1.3774203309611683
U-Net,0.2,64.6624487688196
Transformer,0.2,1.5782791214372645
IDW,0.3,0.9605514663088744
Kriging,0.3,2.7078305094860466
Ensemble,0.3,1.3697121490627924
U-Net,0.3,64.29540761859467
Transformer,0.3,1.3995647649655396
IDW,0.4,1.2503188171738115
Kriging,0.4,2.4907805530957483
Ensemble,0.4,1.737455314140523
U-Net,0.4,64.46379039844484
Transformer,0.4,1.5001418249947684
IDW,0.5,1.231960262119085
Kriging,0.5,3.9963632152791635
Ensemble,0.5,1.7207099107302677
U-Net,0.5,63.68355157168929
Transformer,0.5,2.0505113167034077
IDW,0.1,0.9341292784018332
Kriging,0.1,3.4081464545299696
Ensemble,0.1,1.1948592221399625
U-Net,0.1,65.52939458331966
Transformer,0.1,1.9332685129983085
IDW,0.2,0.8797170939251596
Kriging,0.2,3.333758165204434
Ensemble,0.2,1.1791448001969878
U-Net,0.2,63.541240026313844
Transformer,0.2,1.3485761990698937
IDW,0.3,1.2197177505246075
Kriging,0.3,3.1516028741326134
Ensemble,0.3,1.4491342768659887
U-Net,0.3,65.63549104035573
Transformer,0.3,1.8938022335827123
IDW,0.4,1.205173762656856
Kriging,0.4,3.145537708395877
Ensemble,0.4,1.4059802787811284
U-Net,0.4,65.02387461752615
Transformer,0.4,1.609839609691075
IDW,0.5,1.326858722970514
Kriging,0.5,3.7112692683606237
Ensemble,0.5,1.6949597422972773
U-Net,0.5,65.07513925127338
Transformer,0.5,1.9332166165512945
IDW,0.1,0.7548358018396164
Kriging,0.1,2.7769358468311083
Ensemble,0.1,1.0525267834000434
U-Net,0.1,64.70168455661052
Transformer,0.1,1.4397557803562708
IDW,0.2,1.1565371029590985
Kriging,0.2,3.264849815367118
Ensemble,0.2,1.575187931172087
U-Net,0.2,65.26629946442543
Transformer,0.2,2.018012642660732
IDW,0.3,0.9985565466846833
Kriging,0.3,3.96517446112356
Ensemble,0.3,1.4804510165360294
U-Net,0.3,63.28285691539605
Transformer,0.3,1.6906199108138396
IDW,0.4,1.1106509595686278
Kriging,0.4,3.990035228819517
Ensemble,0.4,1.611778570571107
U-Net,0.4,64.83921958872274
Transformer,0.4,1.7720142262322562
IDW,0.5,1.2310068560420013
Kriging,0.5,2.746931940417625
Ensemble,0.5,1.662011430237755
U-Net,0.5,63.666475030550174
Transformer,0.5,1.7030669716024527
IDW,0.1,0.6535507904550987
Kriging,0.1,3.810745527962577
Ensemble,0.1,0.82386680938447
