model,metric,split,size,value
Ensemble,rmse,test,0.2,2.0554956792034518
Ensemble,mae,cross,0.2,3.50702490747517
Ensemble,rmse,cross,0.2,5.621236984799121
LinReg,mae,test,0.3,2.17862274527306
LinReg,rmse,test,0.3,3.259437471047817
LinReg,mae,cross,0.3,16.6500467723901
LinReg,rmse,cross,0.3,17.36684646612285
ANN,mae,test,0.3,2.2108001708984375
ANN,rmse,test,0.3,2.942391462780268
ANN,mae,cross,0.3,3.4555892944335938
ANN,rmse,cross,0.3,5.179830667490341
IDW,mae,test,0.3,0.9912622735966039
IDW,rmse,test,0.3,2.1742664656234547
IDW,mae,cross,0.3,10.829413547936326
IDW,rmse,cross,0.3,11.361618512084767
Kriging,mae,test,0.3,1.7154048823472294
Kriging,rmse,test,0.3,3.075505612046841
Kriging,mae,cross,0.3,11.858419543505178
Kriging,rmse,cross,0.3,12.320158727435407
Ensemble,mae,test,0.3,0.8088905514746756
Ensemble,rmse,test,0.3,2.1980401579693116
Ensemble,mae,cross,0.3,3.1691668333587018
Ensemble,rmse,cross,0.3,5.417834834633804
LinReg,mae,test,0.4,2.3515270226938583
LinReg,rmse,test,0.4,3.507031222787943
LinReg,mae,cross,0.4,16.714669835316954
LinReg,rmse,cross,0.4,17.445880318213657
ANN,mae,test,0.4,2.0680084228515625
ANN,rmse,test,0.4,2.956097317191382
ANN,mae,cross,0.4,3.2052001953125
ANN,rmse,cross,0.4,4.987002448409455
IDW,mae,test,0.4,0.9753728064451082
IDW,rmse,test,0.4,2.5295470294403537
IDW,mae,cross,0.4,10.722820465307976
IDW,rmse,cross,0.4,11.27054887873072
Kriging,mae,test,0.4,1.5414911989947626
Kriging,rmse,test,0.4,3.3673397834587613
Kriging,mae,cross,0.4,12.173904092587378
Kriging,rmse,cross,0.4,12.390386135484665
Ensemble,mae,test,0.4,0.9074944274363901
Ensemble,rmse,test,0.4,2.575734119410446
Ensemble,mae,cross,0.4,3.885553072488861
Ensemble,rmse,cross,0.4,6.715646006852348
LinReg,mae,test,0.5,2.2015727156477922
LinReg,rmse,test,0.5,3.3597583252370535
LinReg,mae,cross,0.5,15.99005553780728
LinReg,rmse,cross,0.5,16.755038719896707
ANN,mae,test,0.5,2.0366897583007812
ANN,rmse,test,0.5,2.9811746224909133
ANN,mae,cross,0.5,2.6920700073242188
ANN,rmse,cross,0.5,4.785938055145865
IDW,mae,test,0.5,0.9647917280871141
IDW,rmse,test,0.5,2.4368818013546334
IDW,mae,cross,0.5,10.527681040136201
IDW,rmse,cross,0.5,11.101874059848148
Kriging,mae,test,0.5,1.6619209654907934
Kriging,rmse,test,0.5,3.373711985472941
Kriging,mae,cross,0.5,12.046909382042202
Kriging,rmse,cross,0.5,12.242672931807897
Ensemble,mae,test,0.5,1.1514400518213819
Ensemble,rmse,test,0.5,2.636112067577327
Ensemble,mae,cross,0.5,4.36801571245293
Ensemble,rmse,cross,0.5,6.767731620458958
LinReg,mae,test,0.1,2.4559996448759875
LinReg,rmse,test,0.1,3.6168623691174235
LinReg,mae,cross,0.1,16.807400749721488
LinReg,rmse,cross,0.1,17.46032530474296
ANN,mae,test,0.1,1.9360122680664062
ANN,rmse,test,0.1,3.0489837790728846
ANN,mae,cross,0.1,2.5640602111816406
ANN,rmse,cross,0.1,4.605478509890282
IDW,mae,test,0.1,0.7878718639368572
IDW,rmse,test,0.1,2.315899854655411
IDW,mae,cross,0.1,10.926828096533285
IDW,rmse,cross,0.1,11.432580470783364
Kriging,mae,test,0.1,0.7013547865187633
Kriging,rmse,test,0.1,3.5645674504677083
Kriging,mae,cross,0.1,11.940729864963885
Kriging,rmse,cross,0.1,12.374909062307037
Ensemble,mae,test,0.1,0.64741032215818
Ensemble,rmse,test,0.1,2.0384667338611178
Ensemble,mae,cross,0.1,4.378161187957929
Ensemble,rmse,cross,0.1,6.1790307750164555
LinReg,mae,test,0.2,2.1744714660015845
LinReg,rmse,test,0.2,3.664332354781901
LinReg,mae,cross,0.2,16.20435171638229
LinReg,rmse,cross,0.2,16.836338284450765
ANN,mae,test,0.2,1.9906845092773438
ANN,rmse,test,0.2,3.2651939495803273
ANN,mae,cross,0.2,3.1268386840820312
ANN,rmse,cross,0.2,4.879753680705079
IDW,mae,test,0.2,0.9391029694941366
IDW,rmse,test,0.2,2.692915630611089
IDW,mae,cross,0.2,10.78806884297984
IDW,rmse,cross,0.2,11.315991390947405
Kriging,mae,test,0.2,1.1525401415121053
Kriging,rmse,test,0.2,3.6730664815813965
Kriging,mae,cross,0.2,11.944616362967082
Kriging,rmse,cross,0.2,12.336899164646441
Ensemble,mae,test,0.2,0.5913917659420278
Ensemble,rmse,test,0.2,2.5715305801379063
Ensemble,mae,cross,0.2,4.1983858574783
Ensemble,rmse,cross,0.2,6.018891471966173
LinReg,mae,test,0.3,2.3830833317313562
LinReg,rmse,test,0.3,3.6166848606532636
LinReg,mae,cross,0.3,18.664788728480588
LinReg,rmse,cross,0.3,19.196995952940817
ANN,mae,test,0.3,2.6357498168945312
ANN,rmse,test,0.3,3.4985193249965176
ANN,mae,cross,0.3,2.7368240356445312
ANN,rmse,cross,0.3,4.8392764543089495
IDW,mae,test,0.3,1.0322702250572036
IDW,rmse,test,0.3,2.622937911606241
IDW,mae,cross,0.3,10.760716443901757
IDW,rmse,cross,0.3,11.307560942937348
Kriging,mae,test,0.3,1.7567169641646387
Kriging,rmse,test,0.3,3.4989788865216016
Kriging,mae,cross,0.3,11.834328953545295
Kriging,rmse,cross,0.3,12.22838796391843
Ensemble,mae,test,0.3,0.8154812622155276
Ensemble,rmse,test,0.3,2.626364791382232
Ensemble,mae,cross,0.3,3.658743656410735
Ensemble,rmse,cross,0.3,5.906231521792389
LinReg,mae,test,0.4,2.3690964842266453
LinReg,rmse,test,0.4,3.607271463737046
LinReg,mae,cross,0.4,19.6641220912422
LinReg,rmse,cross,0.4,20.14339303851926
ANN,mae,test,0.4,2.139678955078125
ANN,rmse,test,0.4,3.0378730505122435
ANN,mae,cross,0.4,3.2007598876953125
ANN,rmse,cross,0.4,4.932756812928639
IDW,mae,test,0.4,1.081414766986299
IDW,rmse,test,0.4,2.522391782232565
IDW,mae,cross,0.4,10.774097149840713
IDW,rmse,cross,0.4,11.328523973166376
Kriging,mae,test,0.4,1.8917185711657964
Kriging,rmse,test,0.4,3.686785821303462
Kriging,mae,cross,0.4,11.726989986784233
Kriging,rmse,cross,0.4,12.176648915924986
Ensemble,mae,test,0.4,0.851771011939249
Ensemble,rmse,test,0.4,2.5289059003233034
Ensemble,mae,cross,0.4,4.524862949051283
Ensemble,rmse,cross,0.4,6.480901092379408
LinReg,mae,test,0.5,2.2702156493226227
LinReg,rmse,test,0.5,3.4507958790775812
LinReg,mae,cross,0.5,19.440540160693793
LinReg,rmse,cross,0.5,19.977903337546778
ANN,mae,test,0.5,2.4774818420410156
ANN,rmse,test,0.5,3.079907607500665
ANN,mae,cross,0.5,2.8394813537597656
ANN,rmse,cross,0.5,4.762423892870064
IDW,mae,test,0.5,1.172553797928515
IDW,rmse,test,0.5,2.508721949287595
IDW,mae,cross,0.5,10.637648184288835
IDW,rmse,cross,0.5,11.194437139577225
Kriging,mae,test,0.5,2.0251770530032474
Kriging,rmse,test,0.5,3.6181024989315516
Kriging,mae,cross,0.5,11.722735111947955
Kriging,rmse,cross,0.5,12.11521510865791
Ensemble,mae,test,0.5,1.0482653502758197
Ensemble,rmse,test,0.5,2.6216219431463927
Ensemble,mae,cross,0.5,4.146403150355965
Ensemble,rmse,cross,0.5,6.2427364411262944
LinReg,mae,test,0.1,2.368387960258886
LinReg,rmse,test,0.1,3.485012855210294
LinReg,mae,cross,0.1,14.427461925585789
LinReg,rmse,cross,0.1,15.217985554881027
ANN,mae,test,0.1,1.7201461791992188
ANN,rmse,test,0.1,2.7718731470269087
ANN,mae,cross,0.1,2.661834716796875
ANN,rmse,cross,0.1,4.545359200472326
IDW,mae,test,0.1,0.9260299934466758
IDW,rmse,test,0.1,2.7008059579303634
IDW,mae,cross,0.1,10.964326498513685
IDW,rmse,cross,0.1,11.462925673270766
Kriging,mae,test,0.1,1.8173358948532439
Kriging,rmse,test,0.1,4.336390991711103
Kriging,mae,cross,0.1,12.00536600743878
Kriging,rmse,cross,0.1,12.391856575177957
Ensemble,mae,test,0.1,0.6212773114894787
Ensemble,rmse,test,0.1,2.2447618278207653
Ensemble,mae,cross,0.1,3.791174396923097
Ensemble,rmse,cross,0.1,5.711559249821146
LinReg,mae,test,0.2,2.54235140666016
LinReg,rmse,test,0.2,3.573341063684273
LinReg,mae,cross,0.2,15.873603700308003
LinReg,rmse,cross,0.2,16.5525782858201
ANN,mae,test,0.2,1.7476119995117188
ANN,rmse,test,0.2,2.9809250796505617
ANN,mae,cross,0.2,2.6776657104492188
ANN,rmse,cross,0.2,4.910751232216011
IDW,mae,test,0.2,0.9573169849693528
IDW,rmse,test,0.2,2.4172361615310907
IDW,mae,cross,0.2,10.926469594169845
IDW,rmse,cross,0.2,11.436932208182574
Kriging,mae,test,0.2,1.8541434812187845
Kriging,rmse,test,0.2,3.9101193804871226
Kriging,mae,cross,0.2,11.818267714371515
Kriging,rmse,cross,0.2,12.332736988127223
Ensemble,mae,test,0.2,0.8880344292272255
Ensemble,rmse,test,0.2,2.1683113909817453
Ensemble,mae,cross,0.2,3.7381279006496158
Ensemble,rmse,cross,0.2,5.810116867720392
LinReg,mae,test,0.3,2.3966492259089875
LinReg,rmse,test,0.3,3.347176818205413
LinReg,mae,cross,0.3,15.514366744634948
LinReg,rmse,cross,0.3,16.242791089672387
ANN,mae,test,0.3,1.9588088989257812
ANN,rmse,test,0.3,2.879400283052343
ANN,mae,cross,0.3,3.251617431640625
ANN,rmse,cross,0.3,4.781631516590804
IDW,mae,test,0.3,0.9828712694721844
IDW,rmse,test,0.3,2.4589643606310765
IDW,mae,cross,0.3,10.62544599052805
IDW,rmse,cross,0.3,11.181131353924213
Kriging,mae,test,0.3,1.8126578553332706
Kriging,rmse,test,0.3,3.586163412568488
Kriging,mae,cross,0.3,11.70109019285509
Kriging,rmse,cross,0.3,12.191533387256364
Ensemble,mae,test,0.3,0.878841029355371
Ensemble,rmse,test,0.3,2.2830524762781765
Ensemble,mae,cross,0.3,3.8776684623127977
Ensemble,rmse,cross,0.3,5.770006024533619
