Method,Test Size,MAE,,,,MAEt,,,,,MAEe,,,,MAEk-idw,,,,MAEk
Transformer,0.4,2.016321885,,,,,,,,,,,,,,,,,
IDW,0.5,2.713252433,,,,,,,,,,,,,,,,,
Kriging,0.5,3.646260033,,,,,,,,,,,,,,,,,
Ensemble,0.5,2.264942964,,,,,,,,,,,,,,,,,
Transformer,0.5,2.173818023,,,,,,,,,,,,,,,,,
IDW,0.1,1.805075684,,,,,,,,,,,,,,,,,
Kriging,0.1,3.129293932,,,,,,,,,,,,,,,,,
Ensemble,0.1,1.776277529,,,,,,,,,,,,,,,,,
Transformer,0.1,2.170931063,,,,,,,,,,,,,,,,,
IDW,0.2,2.165308537,,,,,,,,,,,,,,,,,
Kriging,0.2,3.949133622,,,,,,,,,,,,,,,,,
Ensemble,0.2,1.964262998,,,,,,,,,,,,,,,,,
Transformer,0.2,2.254113073,,,,,,,,,,,,,,,,,
IDW,0.3,2.002403445,,,,,,,,,,,,,,,,,
Kriging,0.3,4.020163685,,,,,,,,,,,,,,,,,
Ensemble,0.3,2.250645244,,,,,,,,,,,,,,,,,
Transformer,0.3,2.193861105,,,,,,,,,,,,,,,,,
IDW,0.4,2.123349922,,,,,,,,,,,,,,,,,
Kriging,0.4,3.770572707,,,,,,,,,,,,,,,,,
Ensemble,0.4,1.995873643,,,,,,,,,,,,,,,,,
Transformer,0.4,2.166392753,,,,,,,,,,,,,,,,,
IDW,0.5,2.557347471,,,,,,,,,,,,,,,,,
Kriging,0.5,3.620000949,,,,,,,,,,,,,,,,,
Ensemble,0.5,2.287231681,,,,,,,,,,,,,,,,,
Transformer,0.5,1.990151869,,,,,,,,,,,,,,,,,
IDW,0.1,1.996219501,,,,,,,,,,,,,,,,,
Kriging,0.1,2.817054802,,,,,,,,,,,,,,,,,
Ensemble,0.1,1.309210509,,,,,,,,,,,,,,,,,
Transformer,0.1,2.003852125,,,,,,,,,,,,,,,,,
IDW,0.2,2.325420127,,,,,,,,,,,,,,,,,
Kriging,0.2,3.491079302,,,,,,,,,,,,,,,,,
Ensemble,0.2,1.634256762,,,,,,,,,,,,,,,,,
Transformer,0.2,2.379848848,,,,,,,,,,,,,,,,,
IDW,0.3,2.03836867,,,,,,,,,,,,,,,,,
Kriging,0.3,4.076811757,,,,,,,,,,,,,,,,,
Ensemble,0.3,1.888083217,,,,,,,,,,,,,,,,,
Transformer,0.3,2.006719169,,,,,,,,,,,,,,,,,
IDW,0.4,2.175054644,,,,,,,,,,,,,,,,,
Kriging,0.4,3.58599502,,,,,,,,,,,,,,,,,
Ensemble,0.4,1.844771538,,,,,,,,,,,,,,,,,
Transformer,0.4,2.090364004,,,,,,,,,,,,,,,,,
IDW,0.5,2.370803712,,,,,,,,,,,,,,,,,
Kriging,0.5,4.000996892,,,,,,,,,,,,,,,,,
Ensemble,0.5,2.226480497,,,,,,,,,,,,,,,,,
Transformer,0.5,2.279300464,,,,,,,,,,,,,,,,,
