,predicted_rsrp,predicted_rsrq,predicted_sinr,true_rsrp,true_rsrq,true_sinr
0,-94.94757,-10.419193,-3.7961974,-96.0,-10.0,-4.0
1,-115.07562,-12.2372055,-5.3513913,-115.0,-10.0,-4.0
2,-115.28347,-19.201883,-17.426895,-114.0,-18.0,-14.0
3,-115.496666,-18.731861,-13.803054,-113.0,-19.0,-15.0
4,-104.876625,-18.841875,-14.833777,-103.0,-19.0,-15.0
5,-102.97311,-9.554073,0.5504695,-101.0,-10.0,1.0
6,-114.29073,-11.530052,-4.399226,-115.0,-10.0,-4.0
7,-111.21394,-17.429296,-13.553647,-111.0,-18.0,-15.0
8,-104.43072,-11.1079445,-1.0504266,-104.0,-11.0,-1.0
9,-103.4968,-8.738027,1.002235,-103.0,-9.0,1.0
10,-105.17095,-12.808587,-3.7314167,-104.0,-13.0,-4.0
11,-100.71241,-11.140724,-2.0854142,-100.0,-11.0,-1.0
12,-105.16468,-12.900148,-3.9952269,-104.0,-13.0,-4.0
13,-118.6038,-18.988176,-15.5395155,-114.0,-19.5,-16.0
14,-101.21471,-7.8648267,0.39067855,-100.0,-7.0,0.0
15,-112.82949,-12.915869,-9.047594,-110.0,-11.0,-7.0
16,-104.69986,-12.068121,-3.8628607,-103.0,-12.0,-4.0
17,-104.56612,-11.9769745,-3.6470976,-103.0,-12.0,-4.0
18,-109.04223,-15.5918255,-10.869224,-102.0,-19.5,-20.0
19,-106.050026,-11.079114,-0.6982306,-104.0,-10.0,0.0
20,-112.399864,-17.287233,-11.323075,-109.0,-14.0,-5.0
21,-105.64595,-13.45232,-6.1649733,-105.0,-13.0,-6.0
22,-96.97573,-9.828745,0.8882631,-95.0,-10.0,1.0
23,-113.95027,-19.02667,-13.739091,-113.0,-19.0,-14.0
24,-115.09127,-15.962898,-8.578334,-113.0,-15.0,-7.0
25,-105.44503,-8.971878,0.724,-104.0,-10.0,0.0
26,-114.07609,-18.21443,-12.662269,-111.0,-18.0,-12.0
27,-103.882126,-8.497517,-0.85192573,-103.0,-8.0,-1.0
28,-108.38001,-18.972261,-13.531062,-108.0,-19.5,-13.0
29,-116.23254,-18.990856,-12.965132,-117.0,-19.5,-13.0
30,-105.5326,-8.671585,-2.3425915,-104.0,-9.0,-2.0
31,-114.56635,-18.818605,-16.454035,-114.0,-18.0,-14.0
32,-118.8963,-19.023634,-15.702991,-140.0,-19.5,-20.0
33,-110.229454,-11.399488,-4.2067056,-109.0,-11.0,-4.0
34,-118.85825,-19.094118,-15.1906595,-140.0,-19.5,-16.0
35,-114.651146,-18.965796,-17.044043,-114.0,-19.0,-20.0
36,-114.050255,-19.04136,-13.857587,-113.0,-19.0,-14.0
37,-104.25118,-12.18962,-4.1746597,-103.0,-12.0,-4.0
38,-109.41491,-15.633377,-8.883008,-108.0,-16.0,-10.0
