,Method,Test_Size,MAE
0,IDW,0.2,12.788180226930072
1,Krig,0.2,12.169216693007547
2,Ensemble,0.2,10.722439923573292
3,Transformer,0.2,106.80246913580247
4,IDW,0.2,3.7679745118817967
5,Krig,0.2,3.301282473686774
6,Ensemble,0.2,3.7151456322815326
7,Transformer,0.2,13.319753086419754
8,IDW,0.2,6.630596167279624
9,Krig,0.2,6.20640096619142
10,Ensemble,0.2,6.407158747949558
11,Transformer,0.2,6.451851851851852
12,IDW,0.8,17.461832635046136
13,Krig,0.8,16.84286910112361
14,Ensemble,0.8,15.396092331689358
15,Transformer,0.2,17.993405494535814
