gps.lat,gps.lon,altitudeAMSL,localPosition.x,localPosition.y,localPosition.z,pressure,temperature,humidity,gas_resistance,distance_to_tower,azimuth,elevation_angle
52.6081703,1.5428435,16700,1.6,1.3,-0.4,1016.352445,5.225507813,87.77878407,396131,0.002036964668306802,302.0632380784984,0.0
52.6081698,1.5428441,16700,1.6,1.3,-0.4,1016.221882,5.273554688,87.65465986,403626,0.002101075111512948,302.763372169047,0.0
52.6081702,1.5428442,18100,1.7,1.5,-1.8,1016.040161,5.329609375,87.54642091,413153,0.0020831356310516786,301.6311721136641,-80.92541411440313
52.6081813,1.5428621,18100,1.7,1.5,-1.8,1015.845731,5.387226563,87.43117387,420274,0.002990985501556257,267.2208788373347,-80.92541411440313
52.6082137,1.5429236,18100,1.7,1.5,-1.8,1015.645847,5.44875,87.31657983,427914,0.008077048013071178,242.27719086964586,-80.92541411440313
52.6082137,1.5429236,18100,1.7,1.5,-1.8,1015.457046,5.506757813,87.18692411,429530,0.008077048013071178,242.27719086964586,-80.92541411440313
52.6082185,1.5429328,18600,6.8,7.1,-2.2,1015.295947,5.569257813,87.06531049,438356,0.008878936391778393,241.089984993462,-13.011155314375536
52.6082273,1.542949,18600,6.8,7.1,-2.2,1015.156349,5.629414063,86.93611763,443770,0.010317898539747421,239.26498628012598,-13.011155314375536
52.608233,1.5429631,16900,8.8,9.7,-0.6,1015.08507,5.686835938,86.78474005,451997,0.011463165747330037,238.9733422310855,-1.0356538335788752
52.6082365,1.5429768,16900,8.8,9.7,-0.6,1015.010421,5.72375,86.60849883,455009,0.012460201156838664,239.63412177435458,-1.0356538335788752
52.608238,1.54299,16900,8.8,9.7,-0.6,1014.952208,5.766523438,86.45508101,462720,0.013319994557318008,240.95689189611304,-1.0356538335788752
52.6082403,1.5430016,13100,9.4,12.0,3.3,1014.900437,5.809101563,86.29446332,467473,0.014132291377969177,241.5937921540276,15.611977399972169
52.6082403,1.5430016,13100,9.4,12.0,3.3,1014.861472,5.856367188,86.14918323,472324,0.014132291377969177,241.5937921540276,15.611977399972169
52.6082438,1.5430132,13100,9.4,12.0,3.3,1014.871359,5.895234375,85.98819557,479962,0.015008842642099524,241.7097790288085,15.611977399972169
52.608247,1.5430232,9900,10.2,13.7,6.5,1014.908508,5.940351563,85.8355152,484733,0.015774136572180696,241.73418893068424,24.571988823693015
52.6082487,1.5430285,9900,10.2,13.7,6.5,1014.975374,5.982929688,85.6680491,485768,0.016179953716583255,241.74479895693287,24.571988823693015
52.6082465,1.5430329,9900,10.2,13.7,6.5,1015.059198,6.025507813,85.52241927,491009,0.016330876629493937,242.99777586271549,24.571988823693015
52.6082331,1.5430368,8500,8.7,14.4,7.8,1015.183302,6.07296875,85.35590675,496725,0.0159566405076645,248.21636502575296,28.825008040589246
52.6082331,1.5430368,8500,8.7,14.4,7.8,1015.306211,6.118671875,85.18923804,499634,0.0159566405076645,248.21636502575296,28.825008040589246
52.6082119,1.5430422,8500,8.7,14.4,7.8,1015.419374,6.159492188,85.00748429,504433,0.015597389051304183,256.8133601746787,28.825008040589246
52.6081851,1.54305,5500,2.9,15.3,10.8,1015.51711,6.202265625,84.84782552,505928,0.015726717327299508,267.92690337867464,38.53988652340172
52.6081712,1.5430518,5500,2.9,15.3,10.8,1015.599363,6.239765625,84.67303376,510468,0.01586865839376937,273.5468310647428,38.53988652340172
52.6081587,1.5430505,5500,2.9,15.3,10.8,1015.676361,6.27921875,84.51308582,514314,0.01592769847625885,278.5791593861337,38.53988652340172
52.608154,1.5430367,4100,-0.1,14.5,12.3,1015.750868,6.316132813,84.3096134,517041,0.01509535348270677,281.07683840233955,43.658624115716165
52.6081599,1.5429947,4100,-0.1,14.5,12.3,1015.837668,6.371796875,84.18116613,520987,0.01217744326172544,280.60973484243345,43.658624115716165
52.6081599,1.5429947,4100,-0.1,14.5,12.3,1015.937192,6.417695313,84.00091845,523383,0.01217744326172544,280.60973484243345,43.658624115716165
52.608164,1.5429393,4000,1.1,6.8,12.3,1016.049277,6.45578125,83.82681168,527835,0.0084079558467335,282.2549812326119,66.49786261326985
52.6081681,1.5428857,4000,1.1,6.8,12.3,1016.157116,6.464570313,83.61965005,531533,0.004773580012863578,286.1434051870202,66.49786261326985
52.6081718,1.5428466,4000,1.1,6.8,12.3,1016.250539,6.483125,83.43568189,533611,0.0021415862966475178,295.2739109461219,66.49786261326985
52.6081757,1.5428191,3800,2.1,0.1,12.5,1016.289986,6.501875,83.24470695,536969,0.00048426682879833895,351.16989762779923,84.24543466889781
52.60819,1.5428064,3800,2.1,0.1,12.5,1016.310766,6.520625,83.07539127,539941,0.0013622840031065322,144.8381977129573,84.24543466889781
52.60819,1.5428064,3800,2.1,0.1,12.5,1016.320465,6.541914063,82.90657557,544246,0.0013622840031065322,144.8381977129573,84.24543466889781
52.6082186,1.5427946,3800,8.0,-2.1,12.5,1016.339378,6.562617188,82.75210933,546424,0.004578537191457127,159.78966374547707,60.673234539642785
52.6082524,1.5427816,3800,8.0,-2.1,12.5,1016.373342,6.578046875,82.58263775,549946,0.00842550385240002,163.02211088013695,60.673234539642785
52.6082821,1.5427737,3800,8.0,-2.1,12.5,1016.4124,6.593476563,82.41328509,553513,0.011751235562217167,165.23895855997853,60.673234539642785
52.6083033,1.5427703,3900,15.8,-3.6,12.5,1016.431783,6.596992188,82.23512109,554863,0.014096059300518918,166.77944761436683,40.65468039269411
52.6083208,1.5427796,3900,15.8,-3.6,12.5,1016.442157,6.61046875,82.08714164,557127,0.01588254665289142,170.59620208577232,40.65468039269411
