,predicted_rsrp,predicted_rsrq,predicted_sinr,true_rsrp,true_rsrq,true_sinr
0,-110.15906,-16.103596,-12.453458,-118.0,-15.0,-20.0
1,-99.16084,-7.975096,0.12039852,-98.0,-8.0,0.0
2,-95.397285,-9.373113,-3.6756554,-95.0,-9.0,-4.0
3,-91.96299,-10.879247,-3.332988,-92.0,-11.0,-4.0
4,-92.884995,-11.953567,-6.4327826,-92.0,-12.0,-7.0
5,-90.07929,-9.85254,-5.6361675,-90.0,-10.0,-6.0
6,-95.29451,-15.253261,-7.7552166,-94.0,-15.0,-8.0
7,-93.5585,-8.779573,0.82461166,-93.0,-9.0,0.0
8,-89.75,-9.66673,-2.645553,-89.0,-10.0,-3.0
9,-88.26134,-10.7127905,-5.2078238,-87.0,-11.0,-1.0
10,-94.13103,-13.582774,-7.951304,-94.0,-14.0,-10.0
11,-86.69526,-8.829421,-3.6085243,-88.0,-10.0,-4.0
12,-102.20665,-20.10835,-19.615072,-100.0,-19.5,-20.0
13,-97.56384,-15.329925,-12.602254,-96.0,-15.0,-12.0
14,-96.69,-11.527772,-4.7206073,-96.0,-12.0,-4.0
15,-93.53584,-8.659232,-9.953446,-95.0,-11.0,-9.0
16,-101.26172,-19.700794,-12.59678,-100.0,-19.0,-13.0
17,-96.730865,-12.075479,-3.706321,-96.0,-12.0,-4.0
18,-97.232925,-12.384629,-4.774632,-96.0,-12.0,-4.0
19,-95.01619,-15.990054,-8.601265,-94.0,-16.0,-9.0
20,-88.02601,-10.132039,-4.500003,-87.0,-8.0,-2.0
21,-94.62639,-13.879364,-8.739879,-94.0,-14.0,-10.0
22,-89.6539,-11.416562,3.6459913,-88.0,-11.0,2.0
23,-94.928154,-15.993525,-8.669503,-94.0,-16.0,-9.0
24,-92.64182,-9.041314,-0.19807833,-92.0,-9.0,-1.0
25,-90.412704,-10.975322,-5.3285794,-91.0,-12.0,-6.0
26,-88.974724,-9.769893,-3.1897178,-89.0,-10.0,-4.0
27,-99.89154,-16.991755,-17.413692,-98.0,-16.0,-17.0
28,-86.91466,-8.5116005,-3.596693,-86.0,-8.0,-4.0
29,-94.55686,-11.673356,-3.4127333,-96.0,-12.0,-6.0
30,-90.5834,-7.4596176,-4.933401,-90.0,-8.0,-6.0
31,-87.9859,-9.874837,-4.0543537,-87.0,-8.0,-2.0
32,-88.48067,-12.214076,1.5375301,-88.0,-11.0,2.0
33,-97.18338,-11.677257,-3.8701909,-96.0,-12.0,-4.0
34,-94.50959,-11.048829,-6.8106394,-93.0,-10.0,-6.0
35,-110.12001,-15.934282,-11.619451,-118.0,-16.0,-20.0
36,-93.11287,-13.521632,-9.628251,-93.0,-19.5,-16.0
37,-99.92497,-14.481165,-7.271683,-99.0,-14.0,-7.0
38,-99.27861,-12.199016,-5.874595,-98.0,-12.0,-6.0
39,-110.149414,-15.956505,-12.037884,-118.0,-15.0,-10.0
40,-93.87635,-12.980069,2.4409995,-93.0,-14.0,2.0
41,-91.86809,-10.794351,-2.2107365,-92.0,-11.0,-4.0
42,-100.13324,-15.1847315,-2.154214,-97.0,-14.0,1.0
43,-95.35881,-11.889653,-3.7722569,-95.0,-12.0,-5.0
44,-92.30066,-10.609375,-2.6173885,-92.0,-11.0,-4.0
45,-105.36549,-18.683128,-17.000496,-107.0,-19.5,-20.0
46,-93.37819,-9.933335,-5.860134,-93.0,-10.0,-6.0
47,-90.40944,-10.989825,-3.8221598,-89.0,-10.0,-3.0
48,-94.05332,-7.800044,-3.8872027,-94.0,-8.0,-3.0
49,-92.54977,-12.151107,-7.405789,-92.0,-12.0,-7.0
50,-97.945984,-17.316814,-10.95659,-98.0,-17.0,-11.0
51,-96.58769,-14.714223,-11.268476,-95.0,-14.0,-11.0
52,-99.41754,-12.125361,-5.705207,-98.0,-12.0,-6.0
53,-91.822,-10.61827,-2.427354,-92.0,-11.0,-4.0
54,-89.47142,-10.813794,-4.797277,-91.0,-12.0,-6.0
55,-102.054184,-17.13284,-9.528111,-101.0,-17.0,-10.0
56,-98.800705,-17.515594,-11.214919,-98.0,-17.0,-11.0
57,-89.482544,-10.142426,-2.2322218,-89.0,-10.0,-3.0
58,-98.92208,-17.35031,-19.279055,-97.0,-17.0,-20.0
59,-91.253334,-12.811355,-10.323661,-91.0,-13.0,-11.0
60,-92.49014,-9.698488,1.0327171,-93.0,-9.0,0.0
61,-90.18956,-11.343597,-5.178198,-91.0,-12.0,-6.0
62,-95.64694,-15.336131,-8.2471,-94.0,-15.0,-8.0
63,-110.11995,-16.073395,-11.750304,-117.0,-16.0,-9.0
64,-89.90907,-11.273923,-8.554101,-91.0,-13.0,-11.0
65,-91.237045,-11.606566,-6.513311,-89.0,-10.0,-3.0
66,-87.93523,-9.599584,-4.13961,-89.0,-12.0,-5.0
67,-97.35647,-12.040299,-3.9434867,-96.0,-12.0,-4.0
68,-88.23504,-10.780602,-5.092067,-87.0,-11.0,-1.0
69,-94.520874,-8.061858,-0.08008695,-94.0,-8.0,-1.0
70,-89.79665,-11.216863,-5.113989,-91.0,-12.0,-6.0
71,-93.317924,-15.243869,-20.50678,-93.0,-15.0,-20.0
72,-92.134766,-15.037979,-10.866828,-92.0,-15.0,-11.0
73,-92.98818,-9.062966,0.41319847,-92.0,-9.0,-1.0
74,-82.44579,-10.8922205,8.041915,-82.0,-11.0,7.0
75,-110.0362,-15.822841,-11.065539,-117.0,-16.0,-9.0
76,-100.189705,-13.741101,-6.779103,-99.0,-14.0,-7.0
77,-98.04838,-12.354023,-8.327293,-96.0,-10.0,-8.0
78,-97.269424,-15.222764,-12.264165,-102.0,-18.0,-20.0
79,-89.617615,-11.421199,-8.076571,-91.0,-13.0,-11.0
80,-95.5123,-16.154606,-7.848577,-95.0,-16.0,-8.0
81,-95.42255,-10.912559,-10.613401,-95.0,-11.0,-9.0
82,-90.024185,-10.707921,-6.299182,-91.0,-12.0,-6.0
83,-91.98419,-10.168101,1.0324106,-93.0,-9.0,0.0
84,-94.47139,-8.037699,-0.19676387,-94.0,-8.0,-1.0
85,-98.94895,-7.958908,0.3135724,-98.0,-8.0,0.0
86,-103.97778,-13.385065,-3.172752,-103.0,-13.0,-3.0
87,-90.15528,-11.349549,-5.6908226,-91.0,-12.0,-6.0
88,-98.27958,-10.115624,-8.286971,-96.0,-10.0,-8.0
89,-93.84428,-15.05059,-14.116631,-93.0,-14.0,-12.0
90,-96.92796,-14.981985,-11.793096,-95.0,-14.0,-11.0
