model,metric,split,size,value
Ensemble,mae,cross,0.2,4.856457959464365
Ensemble,rmse,cross,0.2,7.375626218048587
LinReg,mae,test,0.3,2.4931881492179997
LinReg,rmse,test,0.3,3.859027618324288
LinReg,mae,cross,0.3,8.800896698138615
LinReg,rmse,cross,0.3,10.122928696447518
ANN,mae,test,0.3,1.6665191650390625
ANN,rmse,test,0.3,2.962467481208667
ANN,mae,cross,0.3,4.0170135498046875
ANN,rmse,cross,0.3,6.3628862598635
IDW,mae,test,0.3,0.5868494189114841
IDW,rmse,test,0.3,2.2607404908335744
IDW,mae,cross,0.3,11.515126517329193
IDW,rmse,cross,0.3,12.018894602361817
Kriging,mae,test,0.3,1.7665463975254454
Kriging,rmse,test,0.3,3.462218846021885
Kriging,mae,cross,0.3,11.934207932318614
Kriging,rmse,cross,0.3,12.193087438815631
Ensemble,mae,test,0.3,0.6481052222633537
Ensemble,rmse,test,0.3,2.007257351918382
Ensemble,mae,cross,0.3,4.725233370101606
Ensemble,rmse,cross,0.3,7.741642975938428
LinReg,mae,test,0.4,2.2391408903652916
LinReg,rmse,test,0.4,3.905801104710706
LinReg,mae,cross,0.4,9.158938932798776
LinReg,rmse,cross,0.4,10.329945377437404
ANN,mae,test,0.4,2.2463912963867188
ANN,rmse,test,0.4,3.7822736466798887
ANN,mae,cross,0.4,8.426048278808594
ANN,rmse,cross,0.4,9.033355660701947
IDW,mae,test,0.4,0.5942994079521782
IDW,rmse,test,0.4,2.573782078651169
IDW,mae,cross,0.4,11.84911206023962
IDW,rmse,cross,0.4,12.022106026810594
Kriging,mae,test,0.4,2.2039473684204154
Kriging,rmse,test,0.4,3.9988463163972936
Kriging,mae,cross,0.4,11.7960526315795
Kriging,rmse,cross,0.4,12.07394853785146
Ensemble,mae,test,0.4,0.727522410955757
Ensemble,rmse,test,0.4,2.328921468695864
Ensemble,mae,cross,0.4,5.470921535767488
Ensemble,rmse,cross,0.4,7.9277165862090175
LinReg,mae,test,0.5,2.36972514784231
LinReg,rmse,test,0.5,3.893556446575617
LinReg,mae,cross,0.5,9.084830361851985
LinReg,rmse,cross,0.5,10.199727858628423
ANN,mae,test,0.5,2.7765884399414062
ANN,rmse,test,0.5,4.077767919861459
ANN,mae,cross,0.5,3.9230880737304688
ANN,rmse,cross,0.5,6.1538615614678704
IDW,mae,test,0.5,0.5820927616664164
IDW,rmse,test,0.5,2.5047285841683093
IDW,mae,cross,0.5,11.759823396706182
IDW,rmse,cross,0.5,11.871500514823058
Kriging,mae,test,0.5,1.7955634594756305
Kriging,rmse,test,0.5,3.723110287620027
Kriging,mae,cross,0.5,11.636495738516672
Kriging,rmse,cross,0.5,12.01061942801205
Ensemble,mae,test,0.5,0.8138354646918273
Ensemble,rmse,test,0.5,2.4748706539205028
Ensemble,mae,cross,0.5,6.8544282338068
Ensemble,rmse,cross,0.5,8.71168859284531
LinReg,mae,test,0.1,2.9011592178956676
LinReg,rmse,test,0.1,4.132420063726295
LinReg,mae,cross,0.1,9.567327586374532
LinReg,rmse,cross,0.1,10.604782866406325
ANN,mae,test,0.1,2.2503509521484375
ANN,rmse,test,0.1,3.098645330650558
ANN,mae,cross,0.1,6.1727447509765625
ANN,rmse,cross,0.1,8.821280640721023
IDW,mae,test,0.1,0.4054193538775763
IDW,rmse,test,0.1,2.4225595849656347
IDW,mae,cross,0.1,11.718351612945582
IDW,rmse,cross,0.1,12.182883891750116
Kriging,mae,test,0.1,1.1197222635701252
Kriging,rmse,test,0.1,3.5255731196114706
Kriging,mae,cross,0.1,11.882142084554346
Kriging,rmse,cross,0.1,12.344406173544757
Ensemble,mae,test,0.1,0.6537792438131333
Ensemble,rmse,test,0.1,2.2144049098152334
Ensemble,mae,cross,0.1,11.373841268458136
Ensemble,rmse,cross,0.1,11.669044381167925
LinReg,mae,test,0.2,2.8011138064303083
LinReg,rmse,test,0.2,4.155493438427686
LinReg,mae,cross,0.2,9.411132113167398
LinReg,rmse,cross,0.2,10.509632922697536
ANN,mae,test,0.2,1.9401092529296875
ANN,rmse,test,0.2,3.23589749853388
ANN,mae,cross,0.2,6.011955261230469
ANN,rmse,cross,0.2,7.110714630888087
IDW,mae,test,0.2,0.5188920402131032
IDW,rmse,test,0.2,2.607771554803114
IDW,mae,cross,0.2,11.76762447674065
IDW,rmse,cross,0.2,12.110157742678632
Kriging,mae,test,0.2,1.2788623679590003
Kriging,rmse,test,0.2,3.6718782748480123
Kriging,mae,cross,0.2,11.789278454353692
Kriging,rmse,cross,0.2,12.339743917812513
Ensemble,mae,test,0.2,0.7230092219613979
Ensemble,rmse,test,0.2,2.6011140654202474
Ensemble,mae,cross,0.2,9.7142978348637
Ensemble,rmse,cross,0.2,10.59796269103257
LinReg,mae,test,0.3,2.8281702091145604
LinReg,rmse,test,0.3,4.008280616120678
LinReg,mae,cross,0.3,8.744051125152268
LinReg,rmse,cross,0.3,10.14893774508136
ANN,mae,test,0.3,2.5954971313476562
ANN,rmse,test,0.3,3.571563889399689
ANN,mae,cross,0.3,3.8926239013671875
ANN,rmse,cross,0.3,6.682605740191413
IDW,mae,test,0.3,0.6630380098827686
IDW,rmse,test,0.3,2.507527823701359
IDW,mae,cross,0.3,11.747124672973186
IDW,rmse,cross,0.3,12.026349574241928
Kriging,mae,test,0.3,1.4695868330363169
Kriging,rmse,test,0.3,3.5359024420649794
Kriging,mae,cross,0.3,11.697171461927468
Kriging,rmse,cross,0.3,12.26090502742153
Ensemble,mae,test,0.3,0.709858642284189
Ensemble,rmse,test,0.3,2.6067099021912132
Ensemble,mae,cross,0.3,9.923139730664687
Ensemble,rmse,cross,0.3,10.660776474161
LinReg,mae,test,0.4,2.816641950625325
LinReg,rmse,test,0.4,4.141743228865359
LinReg,mae,cross,0.4,8.570896984117326
LinReg,rmse,cross,0.4,10.096867148927561
ANN,mae,test,0.4,2.1023178100585938
ANN,rmse,test,0.4,3.586798324186966
ANN,mae,cross,0.4,6.281761169433594
ANN,rmse,cross,0.4,7.839084979091728
IDW,mae,test,0.4,0.7620315735603924
IDW,rmse,test,0.4,2.3786172223445075
IDW,mae,cross,0.4,11.713374853548729
IDW,rmse,cross,0.4,12.012030814170949
Kriging,mae,test,0.4,1.518882455015131
Kriging,rmse,test,0.4,3.777725770250943
Kriging,mae,cross,0.4,11.70207331824841
Kriging,rmse,cross,0.4,12.245306304976973
Ensemble,mae,test,0.4,0.7839250935591764
Ensemble,rmse,test,0.4,2.4325809032344514
Ensemble,mae,cross,0.4,9.930333941532254
Ensemble,rmse,cross,0.4,10.49909206458884
LinReg,mae,test,0.5,2.6468408255684466
LinReg,rmse,test,0.5,3.9136193422677614
LinReg,mae,cross,0.5,8.714948733977224
LinReg,rmse,cross,0.5,10.149090608079314
ANN,mae,test,0.5,2.329029083251953
ANN,rmse,test,0.5,3.4255953244159096
ANN,mae,cross,0.5,5.80987548828125
ANN,rmse,cross,0.5,6.987815198612277
IDW,mae,test,0.5,0.7390164938987525
IDW,rmse,test,0.5,2.6572271041336744
IDW,mae,cross,0.5,11.516976900194095
IDW,rmse,cross,0.5,11.868069869456717
Kriging,mae,test,0.5,2.430830039522448
Kriging,rmse,test,0.5,4.258820741267983
Kriging,mae,cross,0.5,11.569169960477552
Kriging,rmse,cross,0.5,11.872920630092029
Ensemble,mae,test,0.5,0.851093087526742
Ensemble,rmse,test,0.5,2.636353169267997
Ensemble,mae,cross,0.5,11.107463984995022
Ensemble,rmse,cross,0.5,11.388897226565437
LinReg,mae,test,0.1,2.800391377893405
LinReg,rmse,test,0.1,4.685109913281751
LinReg,mae,cross,0.1,9.56875003438276
LinReg,rmse,cross,0.1,10.552774013201715
ANN,mae,test,0.1,1.2450942993164062
ANN,rmse,test,0.1,2.6722995157613556
ANN,mae,cross,0.1,8.896690368652344
ANN,rmse,cross,0.1,9.17816395967863
IDW,mae,test,0.1,0.5341032854383627
IDW,rmse,test,0.1,2.619663008891674
IDW,mae,cross,0.1,11.590968336442074
IDW,rmse,cross,0.1,12.145950580910883
Kriging,mae,test,0.1,1.4307154242510052
Kriging,rmse,test,0.1,4.6452295294048875
Kriging,mae,cross,0.1,11.943661416573292
Kriging,rmse,cross,0.1,12.381818309258048
Ensemble,mae,test,0.1,0.6392795667907478
Ensemble,rmse,test,0.1,2.345883446148178
Ensemble,mae,cross,0.1,8.740172724175395
Ensemble,rmse,cross,0.1,9.895163546415008
LinReg,mae,test,0.2,2.41705317312784
LinReg,rmse,test,0.2,4.312684508499908
LinReg,mae,cross,0.2,9.461044080442463
LinReg,rmse,cross,0.2,10.520071161622253
ANN,mae,test,0.2,1.7846832275390625
ANN,rmse,test,0.2,3.0537142821981242
ANN,mae,cross,0.2,5.995822906494141
ANN,rmse,cross,0.2,9.340801543856594
IDW,mae,test,0.2,0.5404921310397128
IDW,rmse,test,0.2,2.4319844029595243
IDW,mae,cross,0.2,11.601856890845355
IDW,rmse,cross,0.2,12.187714292649517
