,predicted_rsrp,predicted_rsrq,predicted_sinr,true_rsrp,true_rsrq,true_sinr,,,,,,,,,,,,distance_to_tower,azimuth,elevation_angle,,rsrp_mae,distX100
43,-99.4299,-13.627479,-8.181572,-101,-17,-10,,,,,,,,,,,,0.089688734,5.464990926,-11.11022727,,1.5701,8.9688734
44,-99.12763,-14.224773,-9.09912,-101,-17,-10,,,,,,,,,,,,0.092160194,5.613445838,-11.11022727,,1.87237,9.2160194
45,-98.95208,-13.204387,-6.7960396,-101,-17,-10,,,,,,,,,,,,0.094166566,5.778566831,-11.11022727,,2.04792,9.4166566
46,-96.58462,-13.977072,-10.353046,-101,-17,-10,,,,,,,,,,,,0.094850365,6.110251594,-10.87900797,,4.41538,9.4850365
47,-95.40782,-13.5070095,-6.6274714,-101,-17,-10,,,,,,,,,,,,0.094412234,8.529078917,-10.87900797,,5.59218,9.4412234
48,-95.640236,-13.358953,-9.18101,-101,-17,-10,,,,,,,,,,,,0.094412234,8.529078917,-10.87900797,,5.359764,9.4412234
49,-101.379364,-14.942835,-9.17111,-101,-17,-10,,,,,,,,,,,,0.093645849,10.96636259,-10.98022354,,-0.379364,9.3645849
50,-101.116486,-15.778662,-9.390842,-103,-13,-3,,,,,,,,,,,,0.092770892,12.8807016,-10.98022354,,1.883514,9.2770892
51,-97.81465,-13.879673,-8.995358,-103,-13,-3,,,,,,,,,,,,0.091732591,15.32446401,-11.20532275,,5.18535,9.1732591
52,-98.84529,-14.444969,-8.518334,-103,-13,-3,,,,,,,,,,,,0.090981109,17.33183067,-11.20532275,,4.15471,9.0981109
53,-99.47201,-13.531303,-9.108011,-103,-13,-3,,,,,,,,,,,,0.090246746,19.80666962,-11.43279475,,3.52799,9.0246746
54,-98.77547,-13.884501,-6.9039364,-103,-13,-3,,,,,,,,,,,,0.090246746,19.80666962,-11.43279475,,4.22453,9.0246746
55,-97.57417,-12.755326,-4.6566973,-103,-13,-3,,,,,,,,,,,,0.08953676,23.31935151,-11.43279475,,5.42583,8.953676
56,-98.08368,-13.552671,-7.8419647,-103,-13,-3,,,,,,,,,,,,0.08933954,25.35086356,-11.43279475,,4.91632,8.933954
57,-100.65755,-14.696659,-8.962947,-103,-13,-3,,,,,,,,,,,,0.089231215,27.92706694,-11.57423443,,2.34245,8.9231215
58,-100.05545,-14.588791,-8.394833,-103,-13,-3,,,,,,,,,,,,0.089265443,30.44879109,-11.57423443,,2.94455,8.9265443
59,-97.8737,-12.838497,-7.641875,-103,-13,-3,,,,,,,,,,,,0.08935106,32.48817384,-11.56783599,,5.1263,8.935106
60,-101.4203,-15.167641,-9.2197895,-103,-13,-3,,,,,,,,,,,,0.089715061,36.07010282,-11.56783599,,1.5797,8.9715061
61,-100.92833,-14.40177,-8.107028,-103,-13,-3,,,,,,,,,,,,0.089715061,36.07010282,-11.56783599,,2.07167,8.9715061
62,-93.60302,-11.063039,-4.313974,-95,-9,0,,,,,,,,,,,,0.090108599,38.17073815,-11.39140358,,1.39698,9.0108599
63,-95.25211,-11.401583,-2.138323,-95,-9,0,,,,,,,,,,,,0.090811148,40.53124341,-11.39140358,,-0.25211,9.0811148
64,-99.18312,-13.35058,-6.3540983,-95,-9,0,,,,,,,,,,,,0.09145434,42.17336185,-11.20786629,,-4.18312,9.145434
65,-97.0782,-13.190037,-6.399086,-95,-9,0,,,,,,,,,,,,0.092162192,43.64541807,-11.20786629,,-2.0782,9.2162192
66,-93.98381,-9.381388,-2.8978581,-95,-9,0,,,,,,,,,,,,0.093240237,46.53881719,-11.20786629,,1.01619,9.3240237
