Method,Test Size,MAE
IDW,0.1,0.3940826904014444
Kriging,0.1,0.5030501635254131
Ensemble,0.1,0.3680365147971743
U-Net,0.1,1.0420207333025586
[OURS] Splatformer,0.1,0.41453129053115845
U-Net,0.1,1.0420207333025586
IDW,0.1,0.3940826904014444
Kriging,0.1,0.5030501635254131
Ensemble,0.1,0.3680365147971743
U-Net,0.1,1.1227019559965385
[OURS] Splatformer,0.1,0.3272665739059448
U-Net,0.1,1.1227019559965385
IDW,0.2,0.3347251847423868
Kriging,0.2,0.4479576758958457
Ensemble,0.2,0.2582220229499434
U-Net,0.2,2.6186580424742694
[OURS] Splatformer,0.2,0.9545458555221558
U-Net,0.2,2.6186580424742694
IDW,0.2,0.3347251847423868
Kriging,0.2,0.4479576758958457
Ensemble,0.2,0.2582220229499434
U-Net,0.2,2.7317555470612556
[OURS] Splatformer,0.2,0.6018158197402954
U-Net,0.2,2.7317555470612556
IDW,0.3,0.3409863086557172
Kriging,0.3,0.44964589972127156
Ensemble,0.3,0.3100313094342164
U-Net,0.3,0.6810185232876081
[OURS] Splatformer,0.3,0.3041872978210449
U-Net,0.3,0.6810185232876081
IDW,0.3,0.3409863086557172
Kriging,0.3,0.44964589972127156
Ensemble,0.3,0.3100313094342164
U-Net,0.3,0.6508333750476081
[OURS] Splatformer,0.3,0.7443639636039734
U-Net,0.3,0.6508333750476081
IDW,0.4,0.34112933609951285
Kriging,0.4,0.4505802345495508
Ensemble,0.4,0.30961186195939744
U-Net,0.4,0.48971109673267643
[OURS] Splatformer,0.4,0.7908099889755249
U-Net,0.4,0.48971109673267643
IDW,0.4,0.34112933609951285
Kriging,0.4,0.4505802345495508
Ensemble,0.4,0.30961186195939744
U-Net,0.4,0.561732886854272
[OURS] Splatformer,0.4,0.5082860589027405
U-Net,0.4,0.561732886854272
IDW,0.5,0.35910619406531813
Kriging,0.5,0.4701048051465322
Ensemble,0.5,0.3472613226598256
U-Net,0.5,0.5113102356336612
[OURS] Splatformer,0.5,0.3171217441558838
U-Net,0.5,0.5113102356336612
IDW,0.5,0.35910619406531813
Kriging,0.5,0.4701048051465322
Ensemble,0.5,0.3472613226598256
U-Net,0.5,0.5223820517176079
[OURS] Splatformer,0.5,0.4441204369068146
U-Net,0.5,0.5223820517176079
