Method,Test Size,MAE
IDW,0.1,0.6118041703398549
Kriging,0.1,0.7949534788666766
Ensemble,0.1,0.49653838073623563
U-Net,0.1,0.4705916037097564
[OURS] Splatformer,0.1,1.3596175909042358
U-Net,0.1,0.4705916037097564
IDW,0.2,0.5448894579331676
Kriging,0.2,0.6250591843668959
Ensemble,0.2,0.48589661517580707
U-Net,0.2,0.6043343224414186
[OURS] Splatformer,0.2,1.6249269247055054
U-Net,0.2,0.6043343224414186
IDW,0.3,0.5687324143681458
Kriging,0.3,0.5252759092198267
Ensemble,0.3,0.6922585434769641
U-Net,0.3,0.3935071030279266
[OURS] Splatformer,0.3,1.6704853773117065
U-Net,0.3,0.3935071030279266
IDW,0.4,0.6439958716381206
Kriging,0.4,0.5894843066802093
Ensemble,0.4,0.6133652641811475
U-Net,0.4,0.818140715631092
[OURS] Splatformer,0.4,1.685294270515442
U-Net,0.4,0.818140715631092
IDW,0.5,0.6323386327596585
Kriging,0.5,0.8578981952956528
Ensemble,0.5,0.5879718489524014
U-Net,0.5,0.4591762288411878
[OURS] Splatformer,0.5,0.6991803646087646
U-Net,0.5,0.4591762288411878
