Method,Test Size,MAE
IDW,0.1,0.5064238260930358
Kriging,0.1,0.5739142260857365
Ensemble,0.1,0.6454573298094384
U-Net,0.1,0.538172394908828
[OURS] Splatformer,0.1,0.5167252421379089
U-Net,0.1,0.538172394908828
IDW,0.1,0.6665987662612213
Kriging,0.1,0.6256551598447566
Ensemble,0.1,0.6938455770011004
U-Net,0.1,0.4664308988716899
[OURS] Splatformer,0.1,0.546396017074585
U-Net,0.1,0.4664308988716899
IDW,0.2,0.4509571756555592
Kriging,0.2,0.42423162668385983
Ensemble,0.2,0.5571724159486713
U-Net,0.2,0.9500767291515921
[OURS] Splatformer,0.2,0.6431010365486145
U-Net,0.2,0.9500767291515921
IDW,0.2,0.7045213251913469
Kriging,0.2,0.5861411436422757
Ensemble,0.2,0.6007206023954067
U-Net,0.2,0.4334573725718852
[OURS] Splatformer,0.2,0.519515872001648
U-Net,0.2,0.4334573725718852
IDW,0.3,0.49282845476339626
Kriging,0.3,0.45927970179172806
Ensemble,0.3,0.6143530161693513
U-Net,0.3,0.697755854174928
[OURS] Splatformer,0.3,0.5885463356971741
U-Net,0.3,0.697755854174928
IDW,0.3,0.6119870092415746
Kriging,0.3,0.5243585679351062
Ensemble,0.3,0.8348250033966721
U-Net,0.3,1.663444276708172
[OURS] Splatformer,0.3,0.35592976212501526
U-Net,0.3,1.663444276708172
IDW,0.4,0.5829842269198227
Kriging,0.4,0.785281658173097
Ensemble,0.4,0.8399720257702368
U-Net,0.4,0.6299363913682604
[OURS] Splatformer,0.4,0.5307881832122803
U-Net,0.4,0.6299363913682604
IDW,0.4,0.6109650279989493
Kriging,0.4,0.8796743047584138
Ensemble,0.4,0.5385352211601209
U-Net,0.4,0.40743471701516004
[OURS] Splatformer,0.4,0.7525033950805664
U-Net,0.4,0.40743471701516004
IDW,0.5,0.5928431857950964
Kriging,0.5,0.559506349898546
Ensemble,0.5,0.6200708143993706
U-Net,0.5,0.46647134842264254
[OURS] Splatformer,0.5,0.5223984122276306
U-Net,0.5,0.46647134842264254
IDW,0.5,0.565795476319907
Kriging,0.5,0.5715717399101672
Ensemble,0.5,0.5285685103777906
U-Net,0.5,0.5551194948486792
[OURS] Splatformer,0.5,0.5082385540008545
U-Net,0.5,0.5551194948486792
