,pred,real
469,-72.212,-69
470,-72.98664,-69
471,-74.685905,-79
472,-74.251564,-73
473,-73.449135,-73
474,-74.24055,-73
475,-73.30865,-73
476,-73.53335,-73
477,-73.664,-73
478,-73.48884,-73
479,-73.42211,-73
480,-73.69409,-73
481,-73.42167,-73
482,-74.17812,-73
483,-81.442764,-81
484,-82.066124,-81
485,-82.63272,-81
