Method,Test Size,MAE,,,,MAEt,,,,MAEu,,,,MAEe,,,,MAEi,,,,MAEk
U-Net,0.2,64.57832355,,Transformer,0.4,2.031390122,,U-Net,0.4,64.70183117,,Ensemble,0.4,1.55986112,,IDW,0.4,1.022126571,,Kriging,0.4,3.734876163
Transformer,0.2,1.62806124,,Transformer,0.5,1.627226924,,U-Net,0.5,65.20795636,,Ensemble,0.5,1.601438417,,IDW,0.5,1.38184411,,Kriging,0.5,3.904195591
IDW,0.3,1.041171682,,Transformer,0.1,1.238227152,,U-Net,0.1,61.50500095,,Ensemble,0.1,1.502183449,,IDW,0.1,0.855623595,,Kriging,0.1,3.174837061
Kriging,0.3,2.770969272,,Transformer,0.2,1.578279121,,U-Net,0.2,64.66244877,,Ensemble,0.2,1.377420331,,IDW,0.2,0.995788163,,Kriging,0.2,3.693949997
Ensemble,0.3,1.471634926,,Transformer,0.3,1.399564765,,U-Net,0.3,64.29540762,,Ensemble,0.3,1.369712149,,IDW,0.3,0.960551466,,Kriging,0.3,2.707830509
U-Net,0.3,63.71579994,,Transformer,0.4,1.500141825,,U-Net,0.4,64.4637904,,Ensemble,0.4,1.737455314,,IDW,0.4,1.250318817,,Kriging,0.4,2.490780553
Transformer,0.3,1.750429731,,Transformer,0.5,2.050511317,,U-Net,0.5,63.68355157,,Ensemble,0.5,1.720709911,,IDW,0.5,1.231960262,,Kriging,0.5,3.996363215
IDW,0.4,1.254905224,,Transformer,0.1,1.933268513,,U-Net,0.1,65.52939458,,Ensemble,0.1,1.194859222,,IDW,0.1,0.934129278,,Kriging,0.1,3.408146455
Kriging,0.4,3.912183521,,Transformer,0.2,1.348576199,,U-Net,0.2,63.54124003,,Ensemble,0.2,1.1791448,,IDW,0.2,0.879717094,,Kriging,0.2,3.333758165
Ensemble,0.4,1.430883561,,Transformer,0.3,1.893802234,,U-Net,0.3,65.63549104,,Ensemble,0.3,1.449134277,,IDW,0.3,1.219717751,,Kriging,0.3,3.151602874
U-Net,0.4,64.03088882,,Transformer,0.4,1.60983961,,U-Net,0.4,65.02387462,,Ensemble,0.4,1.405980279,,IDW,0.4,1.205173763,,Kriging,0.4,3.145537708
Transformer,0.4,1.838741183,,Transformer,0.5,1.933216617,,U-Net,0.5,65.07513925,,Ensemble,0.5,1.694959742,,IDW,0.5,1.326858723,,Kriging,0.5,3.711269268
IDW,0.5,1.302438786,,Transformer,0.1,1.43975578,,U-Net,0.1,64.70168456,,Ensemble,0.1,1.052526783,,IDW,0.1,0.754835802,,Kriging,0.1,2.776935847
Kriging,0.5,2.423721429,,Transformer,0.2,2.018012643,,U-Net,0.2,65.26629946,,Ensemble,0.2,1.575187931,,IDW,0.2,1.156537103,,Kriging,0.2,3.264849815
Ensemble,0.5,1.588556927,,Transformer,0.3,1.690619911,,U-Net,0.3,63.28285692,,Ensemble,0.3,1.480451017,,IDW,0.3,0.998556547,,Kriging,0.3,3.965174461
U-Net,0.5,64.06871633,,Transformer,0.4,1.772014226,,U-Net,0.4,64.83921959,,Ensemble,0.4,1.611778571,,IDW,0.4,1.11065096,,Kriging,0.4,3.990035229
Transformer,0.5,1.542359258,,Transformer,0.5,1.703066972,,U-Net,0.5,63.66647503,,Ensemble,0.5,1.66201143,,IDW,0.5,1.231006856,,Kriging,0.5,2.74693194
IDW,0.1,1.096193067,,Transformer,0.1,1.757487956,,U-Net,0.1,62.4418081,,Ensemble,0.1,0.823866809,,IDW,0.1,0.65355079,,Kriging,0.1,3.810745528
Kriging,0.1,3.452946087,,Transformer,0.2,1.564689036,,U-Net,0.2,65.02164507,,Ensemble,0.2,1.377420331,,IDW,0.2,0.995788163,,Kriging,0.2,3.693949997
Ensemble,0.1,1.337645128,,Transformer,0.3,1.791838094,,U-Net,0.3,64.85762001,,Ensemble,0.3,1.518155218,,IDW,0.3,1.306904597,,Kriging,0.3,4.055493246
U-Net,0.1,65.36551869,,Transformer,0.4,2.022329995,,U-Net,0.4,63.4967289,,Ensemble,0.4,1.566137902,,IDW,0.4,1.423347406,,Kriging,0.4,3.501625851
Transformer,0.1,1.264362755,,Transformer,0.5,1.635676571,,U-Net,0.5,63.90708786,,Ensemble,0.5,1.782911122,,IDW,0.5,1.481732805,,Kriging,0.5,3.558995551
IDW,0.2,1.221450899,,Transformer,0.1,1.7797351,,U-Net,0.1,64.77083763,,Ensemble,0.1,1.019469979,,IDW,0.1,0.591187291,,Kriging,0.1,2.823085974
Kriging,0.2,3.769658575,,Transformer,0.2,1.683759693,,U-Net,0.2,62.85319993,,Ensemble,0.2,1.528741393,,IDW,0.2,0.878504838,,Kriging,0.2,3.496287514
Ensemble,0.2,1.590608825,,Transformer,0.3,1.268211818,,U-Net,0.3,64.31942186,,Ensemble,0.3,1.214536983,,IDW,0.3,0.93226382,,Kriging,0.3,2.511153453
