,predicted_rsrp,predicted_rsrq,predicted_sinr,true_rsrp,true_rsrq,true_sinr
0,-94.846954,-14.732342,-1.2427536,-91.0,-16.0,-10.0
1,-104.39514,-13.0043125,-2.9509819,-103.0,-13.0,-3.0
2,-100.31923,-14.960954,-7.823776,-99.0,-14.0,-7.0
3,-104.04869,-10.582228,-3.0322616,-98.0,-8.0,0.0
4,-103.89698,-12.760582,-2.8618245,-103.0,-13.0,-3.0
5,-91.995384,-11.305866,-7.2618995,-88.0,-9.0,-7.0
6,-100.22778,-14.31213,-11.056499,-98.0,-14.0,-10.0
7,-96.00868,-16.186928,-11.213797,-94.0,-16.0,-11.0
8,-90.720314,-9.096335,-4.056665,-89.0,-10.0,-4.0
9,-89.610855,-10.822947,-13.486181,-88.0,-11.0,-13.0
10,-100.40564,-16.609568,-11.805334,-99.0,-14.0,-14.0
11,-104.92529,-19.108583,-11.603575,-105.0,-19.0,-10.0
12,-92.892685,-10.995384,-7.0921783,-93.0,-10.0,-6.0
13,-104.23891,-12.966224,-2.8498106,-103.0,-13.0,-3.0
14,-110.39208,-16.47399,-12.488253,-116.0,-16.0,-11.0
15,-97.12898,-11.618687,-3.6445124,-96.0,-12.0,-4.0
16,-104.73031,-17.326523,-12.653199,-103.0,-17.0,-11.0
17,-97.969864,-11.497597,-7.4925866,-96.0,-12.0,-6.0
18,-100.03339,-12.806706,-6.0022364,-98.0,-12.0,-6.0
19,-102.49303,-18.401134,-19.07286,-102.0,-18.0,-20.0
20,-92.83716,-11.321806,-4.0461216,-92.0,-11.0,-4.0
21,-95.80254,-9.73287,-3.7873178,-95.0,-9.0,-4.0
22,-90.865845,-10.042633,-3.435358,-89.0,-10.0,-3.0
23,-97.29036,-16.612173,-12.537651,-94.0,-14.0,-20.0
24,-93.80731,-13.852457,1.876604,-93.0,-14.0,2.0
25,-91.24214,-10.22081,-0.42012104,-87.0,-11.0,-1.0
26,-94.980965,-11.534918,-3.8778837,-95.0,-12.0,-5.0
27,-97.73329,-11.2168045,-6.130843,-94.0,-9.0,-7.0
28,-104.90802,-20.047092,-14.6663,-103.0,-19.0,-14.0
29,-97.2353,-11.066943,-8.592939,-96.0,-12.0,-6.0
30,-89.82219,-7.9405036,-3.8674886,-88.0,-7.0,-3.0
31,-88.74605,-8.463443,-2.6214924,-87.0,-8.0,-2.0
32,-102.562294,-19.30804,-13.716435,-101.0,-19.0,-12.0
33,-98.05664,-12.716363,-2.6019027,-97.0,-12.0,-2.0
34,-97.461426,-11.654854,-3.048778,-96.0,-12.0,-4.0
35,-110.33652,-16.460833,-13.317345,-117.0,-14.0,-9.0
36,-98.01579,-14.083315,-18.80514,-95.0,-12.0,-20.0
37,-101.90607,-14.635012,-8.257076,-100.0,-14.0,-8.0
38,-102.384125,-19.646484,-12.664518,-101.0,-19.0,-12.0
39,-97.32146,-9.915498,-8.456104,-95.0,-11.0,-9.0
40,-93.155594,-13.969749,-20.9302,-90.0,-11.0,-20.0
41,-89.51616,-7.6287236,-3.7116184,-88.0,-7.0,-3.0
42,-89.65817,-11.841179,-4.7161303,-89.0,-12.0,-5.0
43,-99.17578,-17.771603,-20.820549,-97.0,-17.0,-20.0
44,-94.070175,-10.526171,-4.197682,-92.0,-11.0,-4.0
45,-99.09102,-15.026644,-12.17284,-96.0,-15.0,-12.0
46,-99.85529,-9.099355,-1.2507818,-98.0,-8.0,0.0
47,-94.54896,-7.9957595,-2.9323726,-94.0,-8.0,-3.0
48,-94.41939,-12.103651,-8.072454,-91.0,-12.0,-8.0
49,-104.584015,-13.255378,-3.2318816,-103.0,-13.0,-3.0
50,-100.67053,-15.901082,-9.299055,-99.0,-14.0,-7.0
51,-99.605286,-12.101444,-8.827397,-96.0,-10.0,-8.0
52,-94.11731,-13.580357,1.8436662,-93.0,-14.0,2.0
53,-94.57228,-12.977555,-6.9998503,-92.0,-12.0,-7.0
54,-90.3969,-9.333765,-6.811365,-88.0,-9.0,-7.0
55,-96.48739,-14.340345,-11.583796,-93.0,-14.0,-12.0
56,-90.744125,-9.885483,-5.3500953,-90.0,-10.0,-6.0
57,-95.831436,-9.447979,-9.25865,-92.0,-8.0,-10.0
58,-97.85733,-11.702535,-3.5419617,-96.0,-12.0,-4.0
59,-93.626785,-13.751446,-12.958879,-90.0,-12.0,-13.0
60,-94.491035,-9.672628,-0.34002337,-93.0,-9.0,0.0
61,-93.3481,-9.164142,-10.017677,-92.0,-8.0,-10.0
62,-89.9026,-11.989245,-5.5060267,-89.0,-12.0,-5.0
63,-98.71773,-15.180469,-11.660818,-95.0,-14.0,-11.0
64,-96.63553,-15.393929,-1.5940092,-97.0,-14.0,-3.0
65,-102.102005,-16.92533,-9.276845,-101.0,-17.0,-10.0
66,-93.91138,-8.631206,-3.2919137,-92.0,-9.0,-4.0
67,-93.89902,-8.473236,-3.095493,-92.0,-9.0,-4.0
68,-104.11948,-18.09327,-9.791153,-105.0,-19.5,-11.0
69,-97.776215,-13.838242,-0.5871741,-97.0,-14.0,-3.0
70,-106.30495,-19.610607,-18.5956,-107.0,-19.5,-20.0
71,-104.24725,-12.94696,-2.943545,-103.0,-13.0,-3.0
