,predicted_rsrp,predicted_rsrq,predicted_sinr,true_rsrp,true_rsrq,true_sinr
0,-103.79979,-17.119719,-11.763204,-103.0,-17.0,-11.0
1,-89.617676,-9.156958,-7.634049,-88.0,-9.0,-7.0
2,-98.28722,-16.138132,-15.103143,-96.0,-19.5,-19.0
3,-104.735664,-19.780052,-12.551366,-102.0,-19.5,-12.0
4,-92.295586,-11.905937,-11.225867,-89.0,-11.0,-10.0
5,-104.68467,-17.402075,-11.469048,-103.0,-17.0,-11.0
6,-88.32144,-7.106255,-3.0303063,-88.0,-7.0,-3.0
7,-100.64144,-14.459166,-7.469099,-99.0,-14.0,-7.0
8,-96.27897,-14.79759,-9.760831,-98.0,-17.0,-12.0
9,-98.38692,-15.515438,-12.515548,-98.0,-17.0,-20.0
10,-102.885056,-18.972069,-13.261752,-101.0,-19.0,-12.0
11,-91.02219,-10.333476,-2.1766095,-89.0,-10.0,-3.0
12,-91.160416,-11.236198,-4.9490805,-88.0,-10.0,-4.0
13,-91.44985,-8.074144,-5.494266,-90.0,-8.0,-6.0
14,-96.60242,-14.879744,-10.7495165,-94.0,-15.0,-8.0
15,-93.97191,-15.280394,-10.724378,-92.0,-15.0,-11.0
16,-94.70663,-14.238189,-11.2711935,-93.0,-14.0,-12.0
17,-97.77113,-15.101917,-12.161317,-95.0,-14.0,-11.0
18,-95.88551,-8.632678,-3.2036772,-94.0,-8.0,-3.0
19,-89.47168,-10.982519,2.872546,-88.0,-11.0,2.0
20,-92.374954,-10.925631,-6.9763093,-90.0,-10.0,-6.0
21,-92.40103,-11.926422,-3.6251757,-89.0,-12.0,-5.0
22,-90.347595,-10.086317,-2.2799308,-89.0,-10.0,-3.0
23,-103.82718,-14.019981,-4.093888,-103.0,-13.0,-3.0
24,-104.54772,-19.670183,-12.165494,-102.0,-19.5,-12.0
25,-101.911736,-17.092354,-9.665151,-101.0,-17.0,-10.0
26,-95.63023,-9.091169,-4.983189,-95.0,-9.0,-4.0
27,-89.37212,-8.887239,-7.083159,-88.0,-9.0,-7.0
28,-96.03964,-14.48531,0.89504087,-97.0,-14.0,1.0
29,-98.74994,-15.88612,-14.293437,-95.0,-14.0,-11.0
30,-104.335266,-18.575714,-12.525783,-103.0,-17.0,-11.0
31,-105.24272,-17.284298,-9.463796,-104.0,-17.0,-9.0
32,-94.42293,-13.212259,-7.8938613,-91.0,-12.0,-8.0
33,-106.044174,-17.66279,-10.377662,-104.0,-17.0,-9.0
34,-95.96953,-9.627263,-4.5919194,-95.0,-9.0,-4.0
35,-98.93356,-8.237266,-0.043584928,-98.0,-8.0,0.0
36,-96.2568,-8.591872,-0.25886807,-95.0,-9.0,0.0
37,-110.29712,-16.57681,-13.028489,-118.0,-17.0,-20.0
38,-90.60187,-10.076355,-2.3204594,-89.0,-10.0,-3.0
39,-93.422935,-9.203022,-3.1929564,-92.0,-9.0,-4.0
40,-104.116585,-17.91986,-11.875841,-103.0,-17.0,-11.0
41,-94.37517,-15.243958,-20.853123,-93.0,-15.0,-20.0
42,-103.95483,-17.095291,-11.792217,-103.0,-17.0,-11.0
43,-98.22793,-15.731152,-14.129706,-96.0,-10.0,-8.0
44,-94.95277,-8.548986,0.058207706,-94.0,-8.0,-1.0
45,-98.67146,-8.088503,0.5754521,-98.0,-8.0,0.0
46,-96.48682,-15.8723135,-8.17122,-95.0,-16.0,-8.0
47,-89.114426,-9.490448,-7.5819755,-88.0,-9.0,-7.0
48,-94.93335,-16.05594,-8.659742,-94.0,-16.0,-9.0
49,-103.709045,-13.26536,-3.2378287,-103.0,-13.0,-3.0
50,-97.151596,-14.832243,-12.815438,-96.0,-15.0,-12.0
51,-91.21861,-10.383973,-3.8816826,-87.0,-8.0,-2.0
52,-105.60358,-19.081839,-16.923735,-106.0,-19.0,-20.0
53,-104.703896,-19.759293,-12.576623,-102.0,-19.5,-12.0
54,-99.604706,-12.135442,-1.7704219,-97.0,-12.0,-2.0
55,-92.70009,-9.981773,0.05704303,-91.0,-9.0,4.0
56,-89.11918,-7.22004,-3.0065095,-88.0,-7.0,-3.0
57,-95.34326,-7.9868407,-2.3794553,-94.0,-8.0,-3.0
58,-91.79145,-11.810534,-8.433812,-89.0,-11.0,-10.0
59,-96.600296,-11.866362,-5.580073,-96.0,-12.0,-6.0
60,-92.95946,-7.8337183,4.8113375,-92.0,-7.0,4.0
61,-110.29239,-16.01841,-12.99813,-118.0,-15.0,-10.0
62,-93.35202,-11.527313,-3.5642083,-92.0,-11.0,-4.0
63,-91.344124,-12.197735,-7.978269,-89.0,-13.0,-7.0
64,-104.69136,-18.761185,-20.189377,-106.0,-19.5,-20.0
65,-104.70527,-19.676754,-11.898992,-102.0,-19.5,-12.0
66,-96.25886,-11.126059,-4.414328,-93.0,-9.0,0.0
67,-102.90803,-19.196064,-12.840011,-101.0,-19.0,-12.0
68,-93.15005,-11.600183,-11.025237,-89.0,-11.0,-10.0
69,-88.15605,-8.828094,-3.8802445,-86.0,-8.0,-4.0
70,-91.865265,-12.5506,-8.303897,-90.0,-13.0,-9.0
71,-97.37059,-11.495451,-4.6967597,-96.0,-12.0,-4.0
72,-94.79247,-8.057758,-0.07749395,-94.0,-8.0,-1.0
73,-96.890816,-10.915512,-10.906478,-95.0,-11.0,-9.0
74,-92.197586,-12.4317465,-9.688062,-91.0,-13.0,-11.0
75,-95.371025,-15.94584,-10.992396,-94.0,-16.0,-11.0
76,-99.24542,-11.780859,-4.314785,-98.0,-12.0,-6.0
77,-98.6717,-8.171283,-0.33672115,-98.0,-8.0,0.0
78,-91.5417,-10.149668,-5.053623,-90.0,-10.0,-6.0
79,-110.32083,-15.9748,-11.920489,-116.0,-16.0,-11.0
80,-96.24985,-16.01104,-8.452027,-95.0,-16.0,-8.0
81,-97.77884,-15.097122,-11.822245,-98.0,-12.0,-8.0
82,-91.5421,-12.693451,-5.146544,-89.0,-12.0,-5.0
83,-89.9742,-11.180746,2.9116883,-88.0,-11.0,2.0
84,-98.567406,-15.626066,-12.690452,-98.0,-17.0,-20.0
85,-90.988815,-9.374761,-3.6048346,-89.0,-10.0,-3.0
86,-95.572105,-16.431103,-8.910684,-94.0,-16.0,-9.0
87,-110.18806,-15.565114,-11.212499,-116.0,-16.0,-11.0
88,-96.06772,-8.531827,-0.07634024,-95.0,-9.0,0.0
89,-93.066986,-15.162492,-10.131619,-92.0,-15.0,-10.0
90,-91.21994,-11.744169,-7.3984056,-89.0,-13.0,-7.0
91,-93.452034,-12.538952,-6.981604,-92.0,-12.0,-7.0
92,-110.32696,-15.875702,-11.61856,-117.0,-16.0,-9.0
93,-105.68657,-18.800816,-15.229938,-103.0,-19.0,-14.0
94,-93.12051,-12.326555,-7.4162884,-92.0,-12.0,-7.0
95,-96.45616,-14.726921,-10.581145,-94.0,-14.0,-20.0
96,-106.55296,-19.387129,-11.157632,-105.0,-19.5,-11.0
